town,Year,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal
Marengo ,2013,,,,2,0,2,2,2,0
Markham ,2013,4,0,4,5,0,5,9,9,0
Matteson ,2013,1,0,1,6,1,4,7,5,1
Maywood ,2013,7,0,6,14,0,14,21,20,0
Mccook ,2013,,,,1,0,1,1,1,0
McHenry ,2013,4,0,4,9,0,9,13,13,0
Melrose Park ,2013,11,0,11,14,0,14,25,25,0
Merrionette Park ,2013,,,,1,0,1,1,1,0
Midlothian ,2013,1,0,1,7,0,7,8,8,0
Mokena ,2013,1,0,1,2,0,2,3,3,0
Monee ,2013,1,0,1,,,,1,1,0
Montgomery ,2013,2,0,2,2,1,1,4,3,1
Morton Grove ,2013,5,0,5,8,2,6,13,11,2
Mt Prospect ,2013,5,0,5,12,0,12,17,17,0
Mundelein ,2013,7,0,7,5,1,4,12,11,1
Naperville ,2013,31,1,30,28,0,26,59,56,1
New Lenox ,2013,,,,4,0,4,4,4,0
Niles ,2013,15,0,15,18,0,18,33,33,0
No Aurora ,2013,1,0,1,1,0,1,2,2,0
Norridge ,2013,9,0,8,15,0,14,24,22,0
North Chicago ,2013,4,0,4,6,0,6,10,10,0
North Lake ,2013,3,0,3,3,0,3,6,6,0
North Riverside ,2013,3,1,2,3,0,2,6,4,1
Northbrook ,2013,8,0,8,5,0,5,13,13,0
Northfield ,2013,3,0,3,2,0,2,5,5,0
Oak Brook ,2013,1,0,1,3,0,3,4,4,0
Oak Forest ,2013,3,0,3,4,0,4,7,7,0
Oak Lawn ,2013,7,0,6,20,1,19,27,25,1
Oak Park ,2013,28,1,25,36,0,34,64,59,1
Oakbrook Terrace ,2013,3,0,3,1,0,1,4,4,0
Old Mill Creek ,2013,1,0,1,,,,1,1,0
Olympia Fields ,2013,1,0,1,2,0,2,3,3,0
Orland Hills ,2013,,,,1,0,1,1,1,0
Orland Park ,2013,7,0,6,10,1,8,17,14,1
Palatine ,2013,5,0,5,11,0,8,16,13,0
Palos Hills ,2013,4,0,4,3,0,3,7,7,0
Palos Hts ,2013,1,1,0,,,,1,0,1
Park City ,2013,,,,3,0,3,3,3,0
Park Forest ,2013,2,0,2,1,0,0,3,2,0
Park Ridge ,2013,19,0,19,7,1,6,26,25,1
Phoenix ,2013,,,,2,0,2,2,2,0
Plainfield ,2013,4,0,4,3,0,3,7,7,0
Prospect Hts ,2013,3,0,3,2,0,2,5,5,0
Richton Park ,2013,3,0,2,,,,3,2,0
River Forest ,2013,6,0,6,10,0,10,16,16,0
River Grove ,2013,7,0,7,5,0,4,12,11,0
Riverdale ,2013,,,,8,1,7,8,7,1
Riverside ,2013,7,0,7,2,0,2,9,9,0
Riverwoods ,2013,,,,1,0,1,1,1,0
Robbins ,2013,6,0,6,4,0,4,10,10,0
Rolling Meadows ,2013,8,0,8,1,0,1,9,9,0
Romeoville ,2013,6,0,6,3,1,2,9,8,1
Roselle ,2013,4,0,4,3,0,3,7,7,0
Rosemont ,2013,3,0,3,4,1,2,7,5,1
Round Lake ,2013,3,0,3,,,,3,3,0
Round Lake Bch ,2013,7,0,7,5,0,4,12,11,0
Round Lake Park ,2013,,,,2,0,2,2,2,0
Sauk Village ,2013,1,0,1,2,0,2,3,3,0
Schaumburg ,2013,16,0,16,6,0,6,22,22,0
Schiller Park ,2013,6,0,6,5,0,5,11,11,0
Shorewood ,2013,1,0,1,1,0,1,2,2,0
Skokie ,2013,43,0,42,28,3,24,71,66,3
So Elgin ,2013,4,0,3,1,0,1,5,4,0
South Chicago Hts ,2013,2,0,1,1,0,1,3,2,0
South Holland ,2013,1,0,1,8,0,6,9,7,0
Spring Grove ,2013,,,,1,0,1,1,1,0
St Charles ,2013,13,0,12,4,0,4,17,16,0
Steger ,2013,3,1,2,3,0,3,6,5,1
Stickney ,2013,2,0,2,3,1,2,5,4,1
Stone Park ,2013,,,,3,0,3,3,3,0
Streamwood ,2013,11,0,11,2,0,2,13,13,0
Summit ,2013,3,0,3,7,1,6,10,9,1
Third Lake ,2013,1,0,1,,,,1,1,0
Thornton ,2013,,,,1,0,1,1,1,0
Tinley Park ,2013,12,0,12,9,0,9,21,21,0
University Park ,2013,,,,2,0,1,2,1,0
Vernon Hills ,2013,6,0,5,3,0,3,9,8,0
Villa Park ,2013,7,0,7,3,0,3,10,10,0
Wadsworth ,2013,1,0,1,1,0,1,2,2,0
Warrenville ,2013,2,1,1,1,0,1,3,2,1
Wauconda ,2013,2,0,2,1,0,1,3,3,0
Waukegan ,2013,26,0,24,22,2,20,48,44,2
West Chicago ,2013,4,0,4,3,0,3,7,7,0
West Dundee ,2013,2,0,2,1,0,1,3,3,0
Westchester ,2013,3,0,2,4,0,4,7,6,0
Western Springs ,2013,2,0,1,1,0,1,3,2,0
Westmont ,2013,6,0,6,8,0,8,14,14,0
Wheaton ,2013,15,0,14,10,0,9,25,23,0
Wheeling ,2013,13,0,13,10,1,9,23,22,1
Willow Springs ,2013,1,0,1,,,,1,1,0
Willowbrook ,2013,2,0,2,4,0,4,6,6,0
Wilmette ,2013,19,0,19,6,0,5,25,24,0
Wilmington ,2013,2,0,1,1,0,1,3,2,0
Winfield ,2013,3,0,3,,,,3,3,0
Winnetka ,2013,5,0,5,4,0,4,9,9,0
Winthrop Harbor ,2013,1,0,1,1,0,1,2,2,0
Wonder Lake ,2013,1,0,1,,,,1,1,0
Wood Dale ,2013,2,0,2,3,0,3,5,5,0
Woodridge ,2013,7,0,6,3,0,3,10,9,0
Woodstock ,2013,3,0,3,2,0,2,5,5,0
Worth ,2013,3,0,3,7,0,7,10,10,0
Zion ,2013,8,0,6,14,0,14,22,20,0
