towns,Year,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal,town
Addison,2013,8,0,8,2,0,2,10,10,0,Addison
Algonquin,2013,3,0,3,4,1,3,7,6,1,Algonquin
Alsip,2013,2,0,2,9,0,8,11,10,0,Alsip
Antioch,2013,2,0,2,2,0,2,4,4,0,Antioch
Arlington Hts,2013,13,0,12,16,0,16,29,28,0,Arlington Heights
Aurora,2013,39,0,39,50,3,46,89,85,3,Aurora
Barrington,2013,1,0,1,NA,NA,NA,1,1,0,Barrington
Bartlett,2013,2,0,1,8,1,7,10,8,1,Bartlett
Batavia,2013,1,0,1,4,0,4,5,5,0,Batavia
Beach Park,2013,3,0,3,1,1,0,4,3,1,Beach Park
Bedford Park,2013,NA,NA,NA,1,0,1,1,1,0,Bedford Park
Beecher,2013,NA,NA,NA,1,0,1,1,1,0,Beecher
Bellwood,2013,6,0,6,12,0,10,18,16,0,Bellwood
Bensenville,2013,4,0,4,4,0,4,8,8,0,Bensenville
Berkeley,2013,1,0,1,NA,NA,NA,1,1,0,Berkeley
Berwyn,2013,41,0,39,30,0,29,71,68,0,Berwyn
Bloomingdale,2013,7,0,7,6,0,5,13,12,0,Bloomingdale
Blue Island,2013,6,0,6,14,0,13,20,19,0,Blue Island
Bolingbrook,2013,10,0,10,15,0,15,25,25,0,Bolingbrook
Braidwood,2013,NA,NA,NA,1,0,1,1,1,0,Braidwood
Bridgeview,2013,7,0,7,17,0,17,24,24,0,Bridgeview
Broadview,2013,2,0,2,2,0,2,4,4,0,Broadview
Brookfield,2013,6,0,6,3,0,3,9,9,0,Brookfield
Buffalo Grove,2013,6,0,6,4,0,4,10,10,0,Buffalo Grove
Burbank,2013,6,0,6,6,0,6,12,12,0,Burbank
Burnham,2013,NA,NA,NA,2,0,2,2,2,0,Burnham
Burr Ridge,2013,3,0,3,NA,NA,NA,3,3,0,Burr Ridge
Calumet City,2013,2,0,2,21,0,20,23,22,0,Calumet City
Calumet Park,2013,NA,NA,NA,7,0,7,7,7,0,Calumet Park
Campton Hills,2013,NA,NA,NA,1,0,1,1,1,0,Campton Hills
Carol Stream,2013,4,0,3,7,0,7,11,10,0,Carol Stream
Carpentersville,2013,4,0,4,6,0,6,10,10,0,Carpentersville
Cary,2013,1,0,1,NA,NA,NA,1,1,0,Cary
Chicago,2013,1730,3,1574,2796,28,2622,4526,4196,31,Chicago
Chicago Hts,2013,8,0,8,19,2,17,27,25,2,Chicago Heights
Chicago Ridge,2013,4,0,4,5,0,5,9,9,0,Chicago Ridge
Cicero,2013,38,0,35,46,1,39,84,74,1,Cicero
Clarendon Hills,2013,3,0,3,1,0,1,4,4,0,Clarendon Hills
Country Club Hills,2013,NA,NA,NA,2,0,2,2,2,0,Country Club Hills
Countryside,2013,3,1,2,3,0,3,6,5,1,Countryside
Crest Hill,2013,1,0,1,4,1,3,5,4,1,Crest Hill
Crestwood,2013,3,0,3,2,0,2,5,5,0,Crestwood
Crete,2013,NA,NA,NA,2,0,2,2,2,0,Crete
Crystal Lake,2013,13,0,11,7,0,7,20,18,0,Crystal Lake
Darien,2013,5,0,4,4,0,4,9,8,0,Darien
Deerfield,2013,6,0,5,2,0,2,8,7,0,Deerfield
Des Plaines,2013,21,1,19,20,1,19,41,38,2,Des Plaines
