town,Year,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal
Addison ,2015,9,0,9,10,0,10,19,19,0
Algonquin ,2015,2,0,2,4,0,4,6,6,0
Alsip ,2015,5,0,4,6,0,6,11,10,0
Antioch ,2015,1,0,1,1,0,1,2,2,0
Arlington Hts ,2015,16,0,16,15,1,14,31,30,1
Aurora ,2015,33,1,31,50,0,49,83,80,1
Barrington ,2015,,,,3,0,2,3,2,0
Barrington Hills ,2015,2,0,2,,,,2,2,0
Bartlett ,2015,2,0,2,3,0,3,5,5,0
Batavia ,2015,3,0,3,8,0,8,11,11,0
Beach Park ,2015,1,0,1,3,1,2,4,3,1
Bedford Park ,2015,,,,2,0,2,2,2,0
Bellwood ,2015,3,0,3,8,0,8,11,11,0
Bensenville ,2015,5,0,5,6,1,5,11,10,1
Berkeley ,2015,,,,1,0,1,1,1,0
Berwyn ,2015,23,0,23,44,0,44,67,67,0
Bloomingdale ,2015,4,0,4,2,0,2,6,6,0
Blue Island ,2015,4,0,4,8,1,7,12,11,1
Bolingbrook ,2015,11,0,11,7,1,6,18,17,1
Braidwood ,2015,1,0,1,,,,1,1,0
Bridgeview ,2015,7,0,7,5,0,5,12,12,0
Broadview ,2015,4,0,4,5,0,5,9,9,0
Brookfield ,2015,5,0,5,10,0,10,15,15,0
Buffalo Grove ,2015,2,0,2,8,0,8,10,10,0
Burbank ,2015,5,0,5,4,0,4,9,9,0
Burnham ,2015,2,0,2,,,,2,2,0
Burr Ridge ,2015,1,0,1,1,1,0,2,1,1
Calumet City ,2015,4,0,4,9,0,9,13,13,0
Calumet Park ,2015,1,0,1,4,0,3,5,4,0
Campton Hills ,2015,1,0,1,,,,1,1,0
Carol Stream ,2015,8,0,8,2,0,2,10,10,0
Carpentersville ,2015,2,0,2,3,0,3,5,5,0
Cary ,2015,,,,2,0,2,2,2,0
Channahon ,2015,,,,1,0,1,1,1,0
Chicago ,2015,1737,8,1659,2921,44,2727,4658,4386,52
Chicago Hts ,2015,2,0,2,14,3,10,16,12,3
Chicago Ridge ,2015,2,0,2,,,,2,2,0
Cicero ,2015,36,0,36,53,0,51,89,87,0
Clarendon Hills ,2015,1,0,1,1,0,1,2,2,0
Country Club Hills ,2015,,,,1,0,1,1,1,0
Countryside ,2015,3,0,3,4,0,4,7,7,0
Crest Hill ,2015,,,,3,2,1,3,1,2
Crestwood ,2015,,,,4,0,4,4,4,0
Crete ,2015,2,0,2,,,,2,2,0
Crystal Lake ,2015,11,0,11,10,1,9,21,20,1
Darien ,2015,1,0,1,3,1,2,4,3,1
Deerfield ,2015,8,0,8,2,0,2,10,10,0
Des Plaines ,2015,21,1,20,21,3,17,42,37,4
Dixmoor ,2015,1,0,1,2,1,1,3,2,1
Dolton ,2015,3,0,3,8,0,8,11,11,0
Downers Grove ,2015,8,0,8,11,0,11,19,19,0
East Dundee ,2015,2,0,2,2,0,2,4,4,0
Elgin ,2015,16,0,15,38,4,33,54,48,4
Elk Grove ,2015,9,0,9,5,0,5,14,14,0
Elmhurst ,2015,10,0,10,9,0,9,19,19,0
Elmwood Park ,2015,2,0,2,10,0,10,12,12,0
Evanston ,2015,55,0,55,47,1,45,102,100,1
Evergreen Park ,2015,4,0,4,9,0,9,13,13,0
Flossmoor ,2015,1,0,1,1,0,1,2,2,0
Ford Heights ,2015,,,,6,1,5,6,5,1
Forest Park ,2015,5,0,5,9,0,9,14,14,0
Forestview ,2015,,,,1,0,1,1,1,0
Fox Lake ,2015,2,0,2,,,,2,2,0
Fox River Grove ,2015,,,,2,0,2,2,2,0
Frankfort ,2015,1,0,1,1,0,1,2,2,0
