town,year,total2012
Delavan,2012,1568
De Pue,2012,1887
De Soto,2012,1478
Des Plaines,2012,58302
Detroit,2012,125
De Witt,2012,184
Diamond,2012,2648
Dieterich,2012,574
Divernon,2012,1495
Dix,2012,524
Dixmoor,2012,3643
Dixon,2012,15332
Dolton,2012,23230
Dongola,2012,878
Donnellson,2012,227
Donovan,2012,355
Dorchester,2012,146
Dover,2012,132
Dowell,2012,293
Downers Grove,2012,48621
Downs,2012,889
Du Bois,2012,189
Dunfermline,2012,221
Dunlap,2012,1588
Dupo,2012,4091
Du Quoin,2012,6089
Durand,2012,1379
Dwight,2012,4103
Eagarville,2012,65
Earlville,2012,1803
East Alton,2012,6309
East Brooklyn,2012,92
East Cape Girardeau,2012,669
East Carondelet,2012,437
East Dubuque,2012,1973
East Dundee,2012,2886
East Galesburg,2012,805
East Gillespie,2012,204
East Hazel Crest,2012,1853
East Moline,2012,21585
Easton,2012,356
East Peoria,2012,23321
East St. Louis,2012,27116
Eddyville,2012,104
Edgewood,2012,389
Edinburg,2012,1069
Edwardsville,2012,24093
Effingham,2012,12297
Elburn,2012,5595
El Dara,2012,167
Eldorado,2012,4331
Eldred,2012,155
Elgin,2012,109513
Elizabeth,2012,894
Elizabethtown,2012,373
Elk Grove Village,2012,33166
Elkhart,2012,291
Elkville,2012,1018
Elliott,2012,277
Ellis Grove,2012,400
Ellisville,2012,119
Ellsworth,2012,228
Elmhurst,2012,44385
Elmwood,2012,2313
Elmwood Park,2012,24876
El Paso,2012,2546
Elsah,2012,675
Elvaston,2012,122
Elwood,2012,2216
Emden,2012,327
Emington,2012,120
Energy,2012,781
Enfield,2012,697
Equality,2012,749
Erie,2012,1675
Essex,2012,822
Eureka,2012,5421
Evanston,2012,74619
Evansville,2012,637
Evergreen Park,2012,19852
Ewing,2012,273
Exeter,2012,124
Fairbury,2012,3833
Fairfield,2012,5285
Fairmont,2012,2277
Fairmont City,2012,2596
Fairmount,2012,556
Fairview,2012,493
Fairview Heights,2012,16838
Farina,2012,552
Farmer City,2012,2179
Farmersville,2012,634
Farmington,2012,2279
Fayetteville,2012,416
Ferris,2012,202
Fidelity,2012,145
Fieldon,2012,266
Fillmore,2012,429
Findlay,2012,956
Fisher,2012,2047
Fithian,2012,475
Flanagan,2012,992
Flat Rock,2012,425
Flora,2012,5018
Floraville,2012,0
Florence,2012,28
Flossmoor,2012,9387
Foosland,2012,143
Ford Heights,2012,2787
Forest City,2012,285
Forest Lake,2012,1792
Forest Park,2012,14194
Forest View,2012,804
Forrest,2012,1133
Forreston,2012,1582
Forsyth,2012,3785
Fox Lake,2012,10768
Fox Lake Hills,2012,2347
Fox River Grove,2012,4729
Frankfort,2012,17787
Frankfort Square,2012,9123
Franklin,2012,664
Franklin Grove,2012,1171
Franklin Park,2012,18333
Freeburg,2012,4549
Freeman Spur,2012,308
Freeport,2012,25529
Fulton,2012,3587
Fults,2012,37
Gages Lake,2012,9736
Galatia,2012,939
Galena,2012,3469
Galesburg,2012,32038
Galva,2012,2606
Garden Prairie,2012,243
Gardner,2012,1343
Garrett,2012,171
Gays,2012,307
Geneseo,2012,6604
Geneva,2012,21588
Genoa,2012,5693
Georgetown,2012,388
Georgetown,2012,3464
Germantown,2012,1199
Germantown Hills,2012,3406
German Valley,2012,563
Gibson City,2012,3466
Gifford,2012,918
Gilberts,2012,6786
Gillespie,2012,3308
Gilman,2012,1859
Gilson,2012,154
Girard,2012,2253
Gladstone,2012,316
Glasford,2012,1016
Glasgow,2012,159
Glen Carbon,2012,13129
Glencoe,2012,8728
Glendale Heights,2012,34159
Glen Ellyn,2012,27503
Glenview,2012,44478
Glenwood,2012,9033
Godfrey,2012,17941
Godley,2012,755
Golconda,2012,788
Golden,2012,664
Golden Gate,2012,75
Golf,2012,590
Goodfield,2012,1039
Good Hope,2012,419
Goofy Ridge,2012,266
Goreville,2012,1222
Gorham,2012,302
Grafton,2012,747
Grand Detour,2012,469
Grand Ridge,2012,545
Grand Tower,2012,486
Grandview,2012,1531
Grandwood Park,2012,5283
Granite City,2012,29916
Grantfork,2012,339
Grant Park,2012,1514
Granville,2012,1495
Grayslake,2012,20943
Grayville,2012,1668
Greenfield,2012,1409
Green Oaks,2012,3852
Greenup,2012,1622
Green Valley,2012,719
Greenview,2012,770
Greenville,2012,6941
Greenwood,2012,278
Gridley,2012,1419
Griggsville,2012,1195
Gulf Port,2012,19
Gurnee,2012,31222
Hainesville,2012,3519
Hamburg,2012,162
Hamel,2012,685
Hamilton,2012,2828
Hammond,2012,390
Hampshire,2012,6174
Hampton,2012,2196
Hanaford,2012,217
Hanna City,2012,1368
Hanover,2012,820
Hanover Park,2012,37990
Hardin,2012,1144
Harmon,2012,157
Harrisburg,2012,8962
Harrison,2012,1012
Harristown,2012,1540
Hartford,2012,1541
Hartsburg,2012,240
Harvard,2012,9172
Harvel,2012,194
Harvey,2012,24959
Harwood Heights,2012,8573
Havana,2012,3281
Hawthorn Woods,2012,7451
Hazel Crest,2012,14341
Hebron,2012,1082
Hecker,2012,475
Henderson,2012,334
Hennepin,2012,808
Henning,2012,348
Henry,2012,2528
Heritage Lake,2012,1374
Herrick,2012,354
Herrin,2012,12524
Herscher,2012,1704
Hettick,2012,366
Heyworth,2012,2909
Hickory Hills,2012,14355
Hidalgo,2012,136
Highland,2012,9434
Highland Park,2012,29909
Highwood,2012,5396
Hillcrest,2012,1273
Hillsboro,2012,7363
Hillsdale,2012,549
Hillside,2012,8136
Hillview,2012,140
Hinckley,2012,2061
Hindsboro,2012,322
Hinsdale,2012,16594
Hodgkins,2012,2405
Hoffman,2012,599
Hoffman Estates,2012,52066
Holiday Hills,2012,686
Holiday Shores,2012,2921
Hollowayville,2012,54
Homer,2012,1073
Homer Glen,2012,24428
Hometown,2012,4346
Homewood,2012,19526
Hoopeston,2012,5601
Hooppole,2012,307
Hopedale,2012,1061
Hopewell,2012,428
Hopkins Park,2012,564
Hoyleton,2012,498
Hudson,2012,1944
Huey,2012,202
Hull,2012,425
Humboldt,2012,394
Hume,2012,426
Huntley,2012,23897
Hurst,2012,817
Hutsonville,2012,702
Illiopolis,2012,872
Ina,2012,2300
Indian Creek,2012,526
Indian Head Park,2012,3807
Indianola,2012,313
Industry,2012,475
Ingalls Park,2012,3426
Inverness,2012,7457
Iola,2012,103
Ipava,2012,542
Iroquois,2012,173
Irving,2012,332
Irvington,2012,672
Irwin,2012,88
Island Lake,2012,8114
Itasca,2012,8494
Iuka,2012,512
Ivesdale,2012,254
Jacksonville,2012,19401
Jeffersonville,2012,492
Jeisyville,2012,159
Jerome,2012,1530
Jerseyville,2012,8833
Jewett,2012,247
Johnsburg,2012,6325
Johnsonville,2012,77
Johnston City,2012,3557
Joliet,2012,147098
Jonesboro,2012,1895
Joppa,2012,311
Joy,2012,470
Junction,2012,152
Junction City,2012,507
Justice,2012,12877
Kampsville,2012,365
Kane,2012,410
Kaneville,2012,457
Kangley,2012,362
Kankakee,2012,27560
Kansas,2012,832
Kappa,2012,412
Karnak,2012,637
Kaskaskia,2012,4
Keenes,2012,64
Keensburg,2012,172
Keithsburg,2012,544
Kell,2012,216
Kempton,2012,183
Kenilworth,2012,2669
Kenney,2012,353
Kewanee,2012,12903
Keyesport,2012,478
Kilbourne,2012,231
Kildeer,2012,3952
Kincaid,2012,1565
Kinderhook,2012,197
Kingston,2012,1071
Kingston Mines,2012,231
Kinmundy,2012,803
Kinsman,2012,127
Kirkland,2012,1845
Kirkwood,2012,711
Knollwood,2012,1345
Knoxville,2012,2914
Lacon,2012,1958
Ladd,2012,1388
La Fayette,2012,270
La Grange,2012,15563
La Grange Park,2012,13552
La Harpe,2012,1299
Lake Barrington,2012,4870
Lake Bluff,2012,6214
Lake Camelot,2012,1631
Lake Catherine,2012,1253
Lake Forest,2012,19068
Lake Holiday,2012,4629
Lake in the Hills,2012,28894
Lake Ka-Ho,2012,240
Lakemoor,2012,6415
Lake of the Woods,2012,3026
Lake Petersburg,2012,778
Lake Summerset,2012,1898
Lake Villa,2012,8827
Lakewood,2012,4184
Lakewood Shores,2012,1246
Lake Zurich,2012,19679
La Moille,2012,833
Lanark,2012,1615
Langleyville,2012,439
Lansing,2012,28270
LaPlace,2012,152
La Prairie,2012,51
La Rose,2012,122
LaSalle,2012,9574
Latham,2012,303
Lawrenceville,2012,4716
Leaf River,2012,402
Lebanon,2012,4020
Lee,2012,356
Leland,2012,932
Leland Grove,2012,1740
Lemont,2012,15954
Lena,2012,2847
Lenzburg,2012,425
Leonore,2012,79
Lerna,2012,381
Le Roy,2012,3685
Lewistown,2012,2296
Lexington,2012,2029
Liberty,2012,524
Libertyville,2012,20388
Lily Lake,2012,1024
Lima,2012,200
Limestone,2012,1630
Lincoln,2012,14259
Lincolnshire,2012,7228
Lincolnwood,2012,12538
Lindenhurst,2012,14415
Lisbon,2012,316
Lisle,2012,22453
Litchfield,2012,7086
Littleton,2012,331
Little York,2012,271
Liverpool,2012,99
Livingston,2012,766
Loami,2012,798
Lockport,2012,24672
Loda,2012,446
Lomax,2012,369
Lombard,2012,43180
London Mills,2012,432
Long Creek,2012,1332
Long Grove,2012,8031
Long Lake,2012,3490
Long Point,2012,237
Longview,2012,163
