long,lat,order,hole,piece,id,group,STATEFP10,PLACEFP10,PLACENS10,NAME10,PLACE,NAME,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal,popAvg
-87.966067,41.944406,39,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.965249,41.9426,40,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.968352,41.942647,41,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.968696,41.94072,42,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.971413,41.940618,43,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.972084,41.942183,44,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.973261,41.94165,45,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.972387,41.939961,46,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.97364,41.940536,47,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.973515,41.937783,48,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.971011,41.937135,49,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.97142,41.938355,50,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.968247,41.938287,51,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.970128,41.934275,52,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.966932,41.933331,53,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.966656,41.924263,54,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
