long,lat,order,hole,piece,id,group
-88.12008,42.154167,1,FALSE,1,17031,17031.1
-87.75915984,42.15236202,2,FALSE,1,17031,17031.1
-87.7350274,42.11941521,3,FALSE,1,17031,17031.1
-87.71354843,42.09694719,4,FALSE,1,17031,17031.1
-87.67986746,42.07850918,5,FALSE,1,17031,17031.1
-87.67943544,42.0768621,6,FALSE,1,17031,17031.1
-87.68210842,42.07752414,7,FALSE,1,17031,17031.1
-87.68483841,42.07557819,8,FALSE,1,17031,17031.1
-87.67995729,42.0767022,9,FALSE,1,17031,17031.1
-87.68115238,42.07345319,10,FALSE,1,17031,17031.1
-87.67457243,42.0621782,11,FALSE,1,17031,17031.1
-87.66962744,42.05948125,12,FALSE,1,17031,17031.1
-87.66943833,42.05220709,13,FALSE,1,17031,17031.1
-87.67100744,42.05650719,14,FALSE,1,17031,17031.1
-87.67361538,42.05490421,15,FALSE,1,17031,17031.1
-87.67121835,42.0523432,16,FALSE,1,17031,17031.1
-87.67305633,42.04756116,17,FALSE,1,17031,17031.1
-87.66918439,42.04019717,18,FALSE,1,17031,17031.1
-87.66831735,42.02795923,19,FALSE,1,17031,17031.1
-87.65495744,41.99812724,20,FALSE,1,17031,17031.1
-87.65473936,41.98808519,21,FALSE,1,17031,17031.1
-87.65053734,41.9851812,22,FALSE,1,17031,17031.1
-87.6505353,41.97898108,23,FALSE,1,17031,17031.1
-87.6466414,41.97742626,24,FALSE,1,17031,17031.1
-87.64412432,41.96990099,25,FALSE,1,17031,17031.1
-87.63192329,41.96491528,26,FALSE,1,17031,17031.1
-87.63753044,41.95979009,27,FALSE,1,17031,17031.1
-87.64102535,41.96075012,28,FALSE,1,17031,17031.1
-87.63606044,41.96285615,29,FALSE,1,17031,17031.1
-87.64231335,41.9617112,30,FALSE,1,17031,17031.1
-87.63348133,41.9427022,31,FALSE,1,17031,17031.1
-87.64200137,41.94791727,32,FALSE,1,17031,17031.1
-87.63703542,41.94023123,33,FALSE,1,17031,17031.1
-87.63409439,41.94158105,34,FALSE,1,17031,17031.1
-87.63069234,41.93394012,35,FALSE,1,17031,17031.1
-87.63525644,41.93149225,36,FALSE,1,17031,17031.1
-87.62949538,41.91705811,37,FALSE,1,17031,17031.1
-87.63253032,41.93249926,38,FALSE,1,17031,17031.1
-87.62793335,41.91769818,39,FALSE,1,17031,17031.1
-87.62012241,41.9144961,40,FALSE,1,17031,17031.1
-87.62505332,41.91014925,41,FALSE,1,17031,17031.1
-87.62401145,41.90427019,42,FALSE,1,17031,17031.1
-87.61357046,41.89347211,43,FALSE,1,17031,17031.1
-87.61007937,41.89653705,44,FALSE,1,17031,17031.1
-87.60233233,41.89662722,45,FALSE,1,17031,17031.1
-87.60233333,41.89346994,46,FALSE,1,17031,17031.1
-87.6094063,41.89241917,47,FALSE,1,17031,17031.1
-87.59838446,41.89248624,48,FALSE,1,17031,17031.1
-87.62009241,41.89047526,49,FALSE,1,17031,17031.1
-87.61259145,41.89045212,50,FALSE,1,17031,17031.1
-87.616112330000007,41.88365826,51,FALSE,1,17031,17031.1
-87.61589946,41.86878824,52,FALSE,1,17031,17031.1
-87.6054633,41.86688822,53,FALSE,1,17031,17031.1
-87.60656839,41.85352817,54,FALSE,1,17031,17031.1
-87.60962846,41.85373418,55,FALSE,1,17031,17031.1
-87.61039135,41.86599625,56,FALSE,1,17031,17031.1
-87.61314634,41.86329727,57,FALSE,1,17031,17031.1
-87.60516642,41.83419716,58,FALSE,1,17031,17031.1
-87.5801944,41.8039232,59,FALSE,1,17031,17031.1
-87.57949533,41.79788407,60,FALSE,1,17031,17031.1
-87.5750633,41.79637214,61,FALSE,1,17031,17031.1
-87.57925342,41.79356018,62,FALSE,1,17031,17031.1
-87.57684145,41.78884617,63,FALSE,1,17031,17031.1
-87.5810914,41.78736124,64,FALSE,1,17031,17031.1
-87.58405544,41.78999315,65,FALSE,1,17031,17031.1
-87.58360144,41.7818022,66,FALSE,1,17031,17031.1
-87.57874047,41.78353928,67,FALSE,1,17031,17031.1
-87.58051137,41.78683418,68,FALSE,1,17031,17031.1
-87.57708636,41.78809114,69,FALSE,1,17031,17031.1
-87.5758673,41.78395016,70,FALSE,1,17031,17031.1
-87.56960333,41.78156819,71,FALSE,1,17031,17031.1
-87.57446434,41.77928225,72,FALSE,1,17031,17031.1
-87.57477229,41.77635395,73,FALSE,1,17031,17031.1
-87.57623646,41.78017509,74,FALSE,1,17031,17031.1
-87.57904941,41.77951327,75,FALSE,1,17031,17031.1
-87.57785936,41.77649327,76,FALSE,1,17031,17031.1
-87.57186929,41.77621615,77,FALSE,1,17031,17031.1
-87.57253936,41.77932719,78,FALSE,1,17031,17031.1
-87.55955933,41.76916315,79,FALSE,1,17031,17031.1
-87.56063238,41.76573222,80,FALSE,1,17031,17031.1
-87.55629642,41.762092,81,FALSE,1,17031,17031.1
-87.55186943,41.75911607,82,FALSE,1,17031,17031.1
-87.54316144,41.75965923,83,FALSE,1,17031,17031.1
-87.54038335,41.75718622,84,FALSE,1,17031,17031.1
-87.54374937,41.75307021,85,FALSE,1,17031,17031.1
-87.53071737,41.74812722,86,FALSE,1,17031,17031.1
-87.52959635,41.7414462,87,FALSE,1,17031,17031.1
-87.53973846,41.74074496,88,FALSE,1,17031,17031.1
-87.5295053,41.74073723,89,FALSE,1,17031,17031.1
-87.52963941,41.73250117,90,FALSE,1,17031,17031.1
-87.52414948,41.72330608,91,FALSE,1,17031,17031.1
-87.52425966,41.71761051,92,FALSE,1,17031,17031.1
-87.52825742,41.71625723,93,FALSE,1,17031,17031.1
-87.52786834,41.71106314,94,FALSE,1,17031,17031.1
-87.524045,41.708381,95,FALSE,1,17031,17031.1
-87.525705,41.470283,96,FALSE,1,17031,17031.1
-87.790303,41.469846,97,FALSE,1,17031,17031.1
-87.792793,41.55854,98,FALSE,1,17031,17031.1
-87.909453,41.556732,99,FALSE,1,17031,17031.1
-87.91193,41.643933,100,FALSE,1,17031,17031.1
-88.027688,41.641506,101,FALSE,1,17031,17031.1
-88.02916,41.68553,102,FALSE,1,17031,17031.1
-87.966758,41.68683,103,FALSE,1,17031,17031.1
-87.945277,41.697144,104,FALSE,1,17031,17031.1
-87.942257,41.703032,105,FALSE,1,17031,17031.1
-87.921489,41.716222,106,FALSE,1,17031,17031.1
-87.914265,41.716746,107,FALSE,1,17031,17031.1
-87.920459,41.873114,108,FALSE,1,17031,17031.1
-87.92067,41.994031,109,FALSE,1,17031,17031.1
-88.262876,41.986227,110,FALSE,1,17031,17031.1
-88.263378,42.066626,111,FALSE,1,17031,17031.1
-88.237978,42.066926,112,FALSE,1,17031,17031.1
-88.238369,42.154253,113,FALSE,1,17031,17031.1
-88.12008,42.154167,114,FALSE,1,17031,17031.1
-87.5812773,41.78276211,115,FALSE,2,17031,17031.2
-87.58317333,41.78244327,116,FALSE,2,17031,17031.2
-87.58362845,41.78720117,117,FALSE,2,17031,17031.2
-87.5827423,41.78685815,118,FALSE,2,17031,17031.2
-87.5812773,41.78276211,119,FALSE,2,17031,17031.2
-87.60509032,41.88875815,120,FALSE,3,17031,17031.3
-87.60509032,41.88836923,121,FALSE,3,17031,17031.3
-87.60750932,41.88841517,122,FALSE,3,17031,17031.3
-87.60750932,41.88875815,123,FALSE,3,17031,17031.3
-87.60509032,41.88875815,124,FALSE,3,17031,17031.3
-88.145032,41.988244,125,FALSE,1,17043,17043.1
-87.92067,41.994031,126,FALSE,1,17043,17043.1
-87.920459,41.873114,127,FALSE,1,17043,17043.1
-87.914265,41.716746,128,FALSE,1,17043,17043.1
-87.921489,41.716222,129,FALSE,1,17043,17043.1
-87.942257,41.703032,130,FALSE,1,17043,17043.1
-87.945277,41.697144,131,FALSE,1,17043,17043.1
-87.966758,41.68683,132,FALSE,1,17043,17043.1
-88.026644,41.685362,133,FALSE,1,17043,17043.1
-88.02916,41.68553,134,FALSE,1,17043,17043.1
-88.030561,41.72893,135,FALSE,1,17043,17043.1
-88.261952,41.724652,136,FALSE,1,17043,17043.1
-88.262876,41.986227,137,FALSE,1,17043,17043.1
-88.145032,41.988244,138,FALSE,1,17043,17043.1
-88.601438,41.894,139,FALSE,1,17089,17089.1
-88.601958,42.066477,140,FALSE,1,17089,17089.1
-88.58833,42.066462,141,FALSE,1,17089,17089.1
-88.588657,42.15359,142,FALSE,1,17089,17089.1
-88.238369,42.154253,143,FALSE,1,17089,17089.1
-88.237978,42.066926,144,FALSE,1,17089,17089.1
-88.263378,42.066626,145,FALSE,1,17089,17089.1
-88.261952,41.724652,146,FALSE,1,17089,17089.1
-88.601933,41.719563,147,FALSE,1,17089,17089.1
-88.601438,41.894,148,FALSE,1,17089,17089.1
-88.489875,41.722029,149,FALSE,1,17093,17093.1
-88.261468,41.724529,150,FALSE,1,17093,17093.1
-88.252098,41.463096,151,FALSE,1,17093,17093.1
-88.59596,41.457034,152,FALSE,1,17093,17093.1
-88.60362,41.719546,153,FALSE,1,17093,17093.1
-88.489875,41.722029,154,FALSE,1,17093,17093.1
-88.080982,42.49563,155,FALSE,1,17097,17097.1
-87.80365969,42.49257554,156,FALSE,1,17097,17097.1
-87.7975584,42.46937625,157,FALSE,1,17097,17097.1
-87.80377645,42.43339911,158,FALSE,1,17097,17097.1
-87.80413132,42.38984724,159,FALSE,1,17097,17097.1
-87.80598945,42.38364917,160,FALSE,1,17097,17097.1
-87.81277844,42.38301214,161,FALSE,1,17097,17097.1
-87.81336537,42.38191512,162,FALSE,1,17097,17097.1
-87.80716239,42.38287217,163,FALSE,1,17097,17097.1
-87.81510445,42.36906013,164,FALSE,1,17097,17097.1
-87.81680728,42.36224495,165,FALSE,1,17097,17097.1
-87.81458742,42.36114525,166,FALSE,1,17097,17097.1
-87.8219883,42.36259014,167,FALSE,1,17097,17097.1
-87.82065846,42.36789604,168,FALSE,1,17097,17097.1
-87.82300235,42.36835519,169,FALSE,1,17097,17097.1
-87.82263541,42.36426015,170,FALSE,1,17097,17097.1
-87.8250093,42.36531427,171,FALSE,1,17097,17097.1
-87.82288734,42.35680295,172,FALSE,1,17097,17097.1
-87.8257563,42.35598119,173,FALSE,1,17097,17097.1
-87.82644734,42.33912297,174,FALSE,1,17097,17097.1
-87.83135542,42.33022696,175,FALSE,1,17097,17097.1
-87.82917932,42.31169808,176,FALSE,1,17097,17097.1
-87.83485133,42.3091151,177,FALSE,1,17097,17097.1
-87.83229436,42.30776411,178,FALSE,1,17097,17097.1
-87.83375132,42.29420019,179,FALSE,1,17097,17097.1
-87.82810041,42.26889925,180,FALSE,1,17097,17097.1
-87.81747031,42.24881117,181,FALSE,1,17097,17097.1
-87.81096243,42.22751223,182,FALSE,1,17097,17097.1
-87.79428443,42.19879418,183,FALSE,1,17097,17097.1
-87.75915984,42.15236202,184,FALSE,1,17097,17097.1
-88.199584,42.15426,185,FALSE,1,17097,17097.1
-88.199535,42.495132,186,FALSE,1,17097,17097.1
-88.080982,42.49563,187,FALSE,1,17097,17097.1
-88.470597,42.494618,188,FALSE,1,17111,17111.1
-88.199528,42.49457,189,FALSE,1,17111,17111.1
-88.199584,42.15426,190,FALSE,1,17111,17111.1
-88.705633,42.153561,191,FALSE,1,17111,17111.1
-88.707378,42.493597,192,FALSE,1,17111,17111.1
-88.470597,42.494618,193,FALSE,1,17111,17111.1
-88.255348,41.550089,194,FALSE,1,17197,17197.1
-88.261468,41.724529,195,FALSE,1,17197,17197.1
-88.030561,41.72893,196,FALSE,1,17197,17197.1
-88.027688,41.641506,197,FALSE,1,17197,17197.1
-87.91193,41.643933,198,FALSE,1,17197,17197.1
-87.909453,41.556732,199,FALSE,1,17197,17197.1
-87.792793,41.55854,200,FALSE,1,17197,17197.1
-87.790303,41.469846,201,FALSE,1,17197,17197.1
-87.525705,41.470283,202,FALSE,1,17197,17197.1
-87.526731,41.298052,203,FALSE,1,17197,17197.1
-88.013919,41.292447,204,FALSE,1,17197,17197.1
-88.011812,41.205604,205,FALSE,1,17197,17197.1
-88.244155,41.201546,206,FALSE,1,17197,17197.1
-88.255348,41.550089,207,FALSE,1,17197,17197.1
