towns,Year,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal,town
Addison,2012,6,0,5,2,0,2,8,7,0,Addison
Algonquin,2012,2,0,2,2,0,2,4,4,0,Algonquin
Alsip,2012,2,0,2,4,0,4,6,6,0,Alsip
Antioch,2012,2,0,2,2,0,2,4,4,0,Antioch
Arlington Hts,2012,18,1,17,9,0,9,27,26,1,Arlington Heights
Aurora,2012,46,0,45,52,0,52,98,97,0,Aurora
Barrington,2012,2,0,2,2,0,2,4,4,0,Barrington
Bartlett,2012,6,0,6,3,1,2,9,8,1,Bartlett
Batavia,2012,5,0,4,3,0,3,8,7,0,Batavia
Beach Park,2012,1,0,1,4,0,4,5,5,0,Beach Park
Bedford Park,2012,2,0,1,NA,NA,NA,2,1,0,Bedford Park
Beecher,2012,NA,NA,NA,1,0,1,1,1,0,Beecher
Bellwood,2012,2,0,2,10,0,10,12,12,0,Bellwood
Bensenville,2012,5,0,5,5,0,4,10,9,0,Bensenville
Berkeley,2012,3,0,3,2,0,2,5,5,0,Berkeley
Berwyn,2012,32,0,31,22,0,20,54,51,0,Berwyn
Bloomingdale,2012,3,0,3,1,0,1,4,4,0,Bloomingdale
Blue Island,2012,2,0,1,12,0,12,14,13,0,Blue Island
Bolingbrook,2012,16,0,14,10,0,8,26,22,0,Bolingbrook
Bridgeview,2012,11,0,11,20,2,17,31,28,2,Bridgeview
Broadview,2012,6,1,5,5,0,5,11,10,1,Broadview
Brookfield,2012,4,0,3,7,1,6,11,9,1,Brookfield
Buffalo Grove,2012,11,0,11,4,0,4,15,15,0,Buffalo Grove
Burbank,2012,5,0,5,9,0,9,14,14,0,Burbank
Burnham,2012,NA,NA,NA,1,0,1,1,1,0,Burnham
Burr Ridge,2012,2,0,2,2,0,2,4,4,0,Burr Ridge
Calumet City,2012,7,0,7,15,1,14,22,21,1,Calumet City
Calumet Park,2012,2,0,2,6,0,6,8,8,0,Calumet Park
Carol Stream,2012,5,0,4,8,0,7,13,11,0,Carol Stream
Carpentersville,2012,3,0,3,7,0,7,10,10,0,Carpentersville
Cary,2012,1,0,0,4,0,4,5,4,0,Cary
Channahon,2012,NA,NA,NA,2,0,2,2,2,0,Channahon
Chicago,2012,1597,8,1495,2867,46,2750,4464,4245,54,Chicago
Chicago Hts,2012,11,0,11,16,1,15,27,26,1,Chicago Heights
Chicago Ridge,2012,1,0,1,4,0,3,5,4,0,Chicago Ridge
Cicero,2012,22,1,19,52,2,48,74,67,3,Cicero
Clarendon Hills,2012,1,0,1,2,0,2,3,3,0,Clarendon Hills
Country Club Hills,2012,1,0,1,3,0,3,4,4,0,Country Club Hills
Countryside,2012,3,0,3,1,0,1,4,4,0,Countryside
Crest Hill,2012,3,0,3,NA,NA,NA,3,3,0,Crest Hill
Crestwood,2012,1,0,1,5,0,4,6,5,0,Crestwood
Crete,2012,NA,NA,NA,2,1,1,2,1,1,Crete
Crystal Lake,2012,14,1,12,8,0,7,22,19,1,Crystal Lake
Darien,2012,4,0,4,2,1,1,6,5,1,Darien
Deerfield,2012,6,0,6,4,0,4,10,10,0,Deerfield
Des Plaines,2012,20,0,20,27,2,24,47,44,2,Des Plaines
Dixmoor,2012,1,0,1,NA,NA,NA,1,1,0,Dixmoor
Dolton,2012,3,0,3,13,0,13,16,16,0,Dolton
Downers Grove,2012,11,0,11,9,0,9,20,20,0,Downers Grove
East Dundee,2012,3,0,3,NA,NA,NA,3,3,0,East Dundee
Elburn,2012,NA,NA,NA,1,0,1,1,1,0,Elburn
Elgin,2012,28,0,28,29,2,26,57,54,2,Elgin
Elk Grove,2012,10,0,9,4,2,2,14,11,2,Elk Grove Village
Elmhurst,2012,13,0,13,6,0,6,19,19,0,Elmhurst
Elmwood Park,2012,9,0,9,6,1,5,15,14,1,Elmwood Park
Evanston,2012,53,0,49,59,1,57,112,106,1,Evanston
Evergreen Park,2012,8,0,8,10,0,10,18,18,0,Evergreen Park
Flossmoor,2012,1,0,1,NA,NA,NA,1,1,0,Flossmoor
Ford Heights,2012,NA,NA,NA,3,0,3,3,3,0,Ford Heights
Forest Park,2012,9,0,9,14,1,13,23,22,1,Forest Park
Fox Lake,2012,NA,NA,NA,4,0,3,4,3,0,Fox Lake
Fox River Grove,2012,2,0,2,NA,NA,NA,2,2,0,Fox River Grove
Frankfort,2012,1,0,1,1,0,1,2,2,0,Frankfort
Franklin Park,2012,5,0,5,10,1,9,15,14,1,Franklin Park
Geneva,2012,9,0,6,2,0,2,11,8,0,Geneva
Glen Ellyn,2012,9,0,9,4,0,3,13,12,0,Glen Ellyn
Glencoe,2012,1,0,0,1,0,1,2,1,0,Glencoe
Glendale Hts,2012,14,0,14,6,0,6,20,20,0,Glendale Heights
Glenview,2012,16,0,15,3,0,3,19,18,0,Glenview
Glenwood,2012,1,0,1,2,0,2,3,3,0,Glenwood
