town,year,pop2015
De Land,2015,430
Delavan,2015,1625
De Pue,2015,1852
De Soto,2015,1567
Des Plaines,2015,58930
Detroit,2015,110
De Witt,2015,224
Diamond,2015,2612
Dieterich,2015,679
Divernon,2015,1292
Dix,2015,464
Dixmoor,2015,3626
Dixon,2015,15196
Dolton,2015,23283
Dongola,2015,913
Donnellson,2015,140
Donovan,2015,281
Dorchester,2015,157
Dover,2015,146
Dowell,2015,328
Downers Grove,2015,49504
Downs,2015,972
Du Bois,2015,150
Dunfermline,2015,273
Dunlap,2015,1478
Dupo,2015,4006
Du Quoin,2015,6002
Durand,2015,1201
Dwight,2015,4192
Eagarville,2015,169
Earlville,2015,1847
East Alton,2015,6215
East Brooklyn,2015,142
East Cape Girardeau,2015,619
East Carondelet,2015,587
East Dubuque,2015,1812
East Dundee,2015,3074
East Galesburg,2015,801
East Gillespie,2015,256
East Hazel Crest,2015,1611
East Moline,2015,21422
Easton,2015,347
East Peoria,2015,23137
East St. Louis,2015,26689
Eddyville,2015,63
Edgewood,2015,507
Edinburg,2015,1097
Edwardsville,2015,24896
Effingham,2015,12513
Elburn,2015,5785
El Dara,2015,123
Eldorado,2015,4103
Eldred,2015,207
Elgin,2015,112105
Elizabeth,2015,744
Elizabethtown,2015,256
Elk Grove Village,2015,33333
Elkhart,2015,346
Elkville,2015,1047
Elliott,2015,239
Ellis Grove,2015,439
Ellisville,2015,106
Ellsworth,2015,259
Elmhurst,2015,45469
Elmwood,2015,2253
Elmwood Park,2015,24971
El Paso,2015,2694
Elsah,2015,739
Elvaston,2015,119
Elwood,2015,2130
Emden,2015,348
Emington,2015,87
Energy,2015,1215
Enfield,2015,628
Equality,2015,551
Erie,2015,1507
Essex,2015,858
Eureka,2015,5704
Evanston,2015,75603
Evansville,2015,671
Evergreen Park,2015,19934
Ewing,2015,265
Exeter,2015,105
Fairbury,2015,3722
Fairfield,2015,4882
Fairmont,2015,2322
Fairmont City,2015,2498
Fairmount,2015,671
Fairview,2015,515
Fairview Heights,2015,17014
Farina,2015,576
Farmer City,2015,1947
Farmersville,2015,569
Farmington,2015,2455
Fayetteville,2015,408
Ferris,2015,143
Fidelity,2015,133
Fieldon,2015,198
Fillmore,2015,262
Findlay,2015,718
Fisher,2015,1860
Fithian,2015,504
Flanagan,2015,1138
Flat Rock,2015,347
Flora,2015,5027
Floraville,2015,0
Florence,2015,40
Flossmoor,2015,9492
Foosland,2015,115
Ford Heights,2015,2780
Forest City,2015,222
Forest Lake,2015,1719
Forest Park,2015,14194
Forest View,2015,703
Forrest,2015,1193
Forreston,2015,1707
Forsyth,2015,3493
Fox Lake,2015,10539
Fox Lake Hills,2015,2190
Fox River Grove,2015,4739
Frankfort,2015,18295
Frankfort Square,2015,9258
Franklin,2015,505
Franklin Grove,2015,1185
Franklin Park,2015,18410
Freeburg,2015,4226
Freeman Spur,2015,200
Freeport,2015,24973
Fulton,2015,3467
Fults,2015,18
Gages Lake,2015,10025
Galatia,2015,941
Galena,2015,3345
Galesburg,2015,31696
Galva,2015,2543
Garden Prairie,2015,198
Gardner,2015,1211
Garrett,2015,108
Gays,2015,288
Geneseo,2015,6523
Geneva,2015,21704
Genoa,2015,5233
Georgetown,2015,477
Georgetown,2015,3413
Germantown,2015,1112
Germantown Hills,2015,3480
German Valley,2015,440
Gibson City,2015,3542
Gifford,2015,861
Gilberts,2015,7338
Gillespie,2015,3310
Gilman,2015,1680
Gilson,2015,132
Girard,2015,1805
Gladstone,2015,221
Glasford,2015,1201
Glasgow,2015,126
Glen Carbon,2015,12882
Glencoe,2015,8881
Glendale Heights,2015,34497
Glen Ellyn,2015,27890
Glenview,2015,45969
Glenwood,2015,8923
Godfrey,2015,17868
Godley,2015,752
Golconda,2015,770
Golden,2015,681
Golden Gate,2015,66
Golf,2015,474
Goodfield,2015,884
Good Hope,2015,387
Goofy Ridge,2015,167
Goreville,2015,1206
Gorham,2015,173
Grafton,2015,616
Grand Detour,2015,548
Grand Ridge,2015,538
Grand Tower,2015,451
Grandview,2015,1406
Grandwood Park,2015,5757
Granite City,2015,29421
Grantfork,2015,337
Grant Park,2015,1270
Granville,2015,1380
Grayslake,2015,21117
Grayville,2015,1630
Greenfield,2015,1412
Green Oaks,2015,3850
Greenup,2015,1769
Green Valley,2015,733
Greenview,2015,860
Greenville,2015,6842
Greenwood,2015,400
Gridley,2015,1356
Griggsville,2015,1161
Gulf Port,2015,19
Gurnee,2015,31136
