town,town2,year,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal,pop,cycle_rate,ped_rate,total_rate
Glendale Heights,Glendale Hts,2014,5,0,5,6,0,6,11,11,0,"34,436",0.15,0.17,0.32
Glendale Heights,Glendale Hts,2015,6,0,6,8,0,8,14,14,0,"34,497",0.17,0.23,0.41
Glenview,Glenview,2012,16,0,15,3,0,3,19,18,0,"44,478",0.36,0.07,0.43
Glenview,Glenview,2013,20,0,20,7,0,7,27,27,0,"44,863",0.45,0.16,0.6
Glenview,Glenview,2014,19,0,19,9,0,9,28,28,0,"45,400",0.42,0.2,0.62
Glenview,Glenview,2015,17,0,17,6,0,6,23,23,0,"45,969",0.37,0.13,0.5
Glenwood,Glenwood,2012,1,0,1,2,0,2,3,3,0,"9,033",0.11,0.22,0.33
Glenwood,Glenwood,2015,1,0,1,2,0,2,3,3,0,"8,923",0.11,0.22,0.34
Godley,Godley,2012,,,,1,0,1,1,1,0,755,0,1.32,1.32
Godley,Godley,2014,,,,1,0,1,1,1,0,622,0,1.61,1.61
Golf,Golf,2015,,,,1,0,1,1,1,0,474,0,2.11,2.11
Grayslake,Grayslake,2012,4,0,3,4,0,4,8,7,0,"20,943",0.19,0.19,0.38
Grayslake,Grayslake,2013,4,0,4,6,0,6,10,10,0,"20,951",0.19,0.29,0.48
Grayslake,Grayslake,2014,4,0,4,2,0,2,6,6,0,"20,863",0.19,0.1,0.29
Grayslake,Grayslake,2015,4,0,4,2,0,2,6,6,0,"21,117",0.19,0.09,0.28
Green Oaks,Green Oaks,2012,2,0,2,,,,2,2,0,"3,852",0.52,0,0.52
Green Oaks,Green Oaks,2015,1,0,1,,,,1,1,0,"3,850",0.26,0,0.26
Gurnee,Gurnee,2012,6,0,6,4,0,4,10,10,0,"31,222",0.19,0.13,0.32
Gurnee,Gurnee,2013,3,0,3,8,2,6,11,9,2,"31,247",0.1,0.26,0.35
Gurnee,Gurnee,2014,1,0,1,3,0,3,4,4,0,"31,182",0.03,0.1,0.13
Gurnee,Gurnee,2015,5,0,5,9,0,8,14,13,0,"31,136",0.16,0.29,0.45
Hainesville,Hainesville,2012,1,0,1,2,0,2,3,3,0,"3,519",0.28,0.57,0.85
Hainesville,Hainesville,2015,1,0,1,1,0,1,2,2,0,"3,690",0.27,0.27,0.54
Hampshire,Hampshire,2013,,,,1,0,1,1,1,0,"6,108",0,0.16,0.16
Hampshire,Hampshire,2014,1,0,1,,,,1,1,0,"6,053",0.17,0,0.17
Hanover Park,Hanover Park,2012,8,0,7,3,0,3,11,10,0,"37,990",0.21,0.08,0.29
Hanover Park,Hanover Park,2013,9,0,9,10,0,9,19,18,0,"38,159",0.24,0.26,0.5
Hanover Park,Hanover Park,2014,2,0,2,11,0,11,13,13,0,"38,302",0.05,0.29,0.34
Hanover Park,Hanover Park,2015,7,1,6,7,0,7,14,13,1,"38,373",0.18,0.18,0.36
Harvard,Harvard,2012,2,0,2,2,0,2,4,4,0,"9,172",0.22,0.22,0.44
Harvard,Harvard,2013,,,,2,0,2,2,2,0,"9,023",0,0.22,0.22
Harvard,Harvard,2014,2,0,2,1,0,1,3,3,0,"9,829",0.2,0.1,0.31
Harvard,Harvard,2015,2,0,2,,,,2,2,0,"9,802",0.2,0,0.2
Harvey,Harvey,2012,12,1,11,24,1,22,36,33,2,"24,959",0.48,0.96,1.44
Harvey,Harvey,2013,4,0,4,28,3,24,32,28,3,"24,771",0.16,1.13,1.29
Harvey,Harvey,2014,7,0,7,18,0,17,25,24,0,"25,225",0.28,0.71,0.99
Harvey,Harvey,2015,8,0,8,23,1,21,31,29,1,"25,773",0.31,0.89,1.2
Harwood Heights,Harwood Hts,2012,2,0,2,1,0,1,3,3,0,"8,573",0.23,0.12,0.35
Harwood Heights,Harwood Hts,2013,3,0,3,2,0,2,5,5,0,"8,624",0.35,0.23,0.58
Harwood Heights,Harwood Hts,2014,3,0,2,8,1,7,11,9,1,"8,656",0.35,0.92,1.27
Harwood Heights,Harwood Hts,2015,5,0,5,3,0,3,8,8,0,"8,649",0.58,0.35,0.92
Hawthorn Woods,Hawthorn Woods,2012,1,0,1,,,,1,1,0,"7,451",0.13,0,0.13
Hawthorn Woods,Hawthorn Woods,2013,1,0,1,,,,1,1,0,"7,937",0.13,0,0.13
Hawthorn Woods,Hawthorn Woods,2015,1,0,1,,,,1,1,0,"7,634",0.13,0,0.13
Hazel Crest,Hazelcrest,2012,3,0,3,8,0,8,11,11,0,"14,341",0.21,0.56,0.77
Hazel Crest,Hazelcrest,2013,1,0,0,6,0,6,7,6,0,"14,350",0.07,0.42,0.49
Hazel Crest,Hazelcrest,2014,2,0,2,1,1,0,3,2,1,"14,102",0.14,0.07,0.21
Hazel Crest,Hazelcrest,2015,1,0,1,2,0,2,3,3,0,"14,195",0.07,0.14,0.21
Hickory Hills,Hickory Hills,2012,2,0,2,4,0,4,6,6,0,"14,355",0.14,0.28,0.42
Hickory Hills,Hickory Hills,2013,3,0,3,1,1,0,4,3,1,"14,367",0.21,0.07,0.28
Hickory Hills,Hickory Hills,2014,6,0,6,2,0,2,8,8,0,"14,117",0.43,0.14,0.57
Hickory Hills,Hickory Hills,2015,1,0,1,5,0,5,6,6,0,"13,933",0.07,0.36,0.43
Highland Park,Highland Park,2012,10,0,10,8,1,7,18,17,1,"29,909",0.33,0.27,0.6
Highland Park,Highland Park,2013,10,0,10,12,0,12,22,22,0,"29,864",0.33,0.4,0.74
Highland Park,Highland Park,2014,7,0,7,5,0,5,12,12,0,"29,819",0.23,0.17,0.4
Highland Park,Highland Park,2015,5,0,5,7,0,7,12,12,0,"29,789",0.17,0.23,0.4
Highwood,Highwood,2012,3,0,3,1,0,1,4,4,0,"5,396",0.56,0.19,0.74
Highwood,Highwood,2013,1,0,1,1,0,1,2,2,0,"5,366",0.19,0.19,0.37
Highwood,Highwood,2014,1,0,1,2,1,1,3,2,1,"5,400",0.19,0.37,0.56
Highwood,Highwood,2015,2,0,2,1,0,1,3,3,0,"5,391",0.37,0.19,0.56
Hillside,Hillside,2012,3,0,3,3,0,3,6,6,0,"8,136",0.37,0.37,0.74
Hillside,Hillside,2013,2,0,2,2,0,2,4,4,0,"8,172",0.24,0.24,0.49
Hillside,Hillside,2014,3,0,2,5,0,5,8,7,0,"8,192",0.37,0.61,0.98
Hillside,Hillside,2015,1,0,1,1,1,0,2,1,1,"8,190",0.12,0.12,0.24
Hinsdale,Hinsdale,2012,2,0,2,4,0,4,6,6,0,"16,594",0.12,0.24,0.36
Hinsdale,Hinsdale,2013,4,0,4,4,0,4,8,8,0,"16,637",0.24,0.24,0.48
Hinsdale,Hinsdale,2014,2,0,2,2,0,2,4,4,0,"16,898",0.12,0.12,0.24
Hinsdale,Hinsdale,2015,1,0,1,7,0,7,8,8,0,"17,308",0.06,0.4,0.46
Hodgkins,Hodgkins,2013,,,,1,0,1,1,1,0,"2,152",0,0.46,0.46
Hodgkins,Hodgkins,2014,2,0,2,,,,2,2,0,"2,185",0.92,0,0.92
Hodgkins,Hodgkins,2015,2,0,2,1,0,1,3,3,0,"2,097",0.95,0.48,1.43
Hoffman Estates,Hoffman Estates,2012,10,0,10,1,0,1,11,11,0,"52,066",0.19,0.02,0.21
Hoffman Estates,Hoffman Estates,2013,11,0,10,1,0,1,12,11,0,"52,265",0.21,0.02,0.23
Hoffman Estates,Hoffman Estates,2014,10,0,10,8,0,8,18,18,0,"52,271",0.19,0.15,0.34
Hoffman Estates,Hoffman Estates,2015,9,0,9,9,1,8,18,17,1,"52,271",0.17,0.17,0.34
Homer Glen,Homer Glen,2012,1,0,1,1,0,1,2,2,0,"24,428",0.04,0.04,0.08
Homer Glen,Homer Glen,2013,1,0,1,,,,1,1,0,"24,309",0.04,0,0.04
Homer Glen,Homer Glen,2014,,,,2,0,1,2,1,0,"24,322",0,0.08,0.08
Homer Glen,Homer Glen,2015,1,0,1,1,0,1,2,2,0,"24,358",0.04,0.04,0.08
Hometown,Hometown,2012,,,,1,0,1,1,1,0,"4,346",0,0.23,0.23
Hometown,Hometown,2013,1,0,1,4,0,3,5,4,0,"4,356",0.23,0.92,1.15
Hometown,Hometown,2014,2,0,2,1,0,1,3,3,0,"4,358",0.46,0.23,0.69
Hometown,Hometown,2015,1,0,1,1,0,1,2,2,0,"4,356",0.23,0.23,0.46
Homewood,Homewood,2012,4,0,4,4,0,4,8,8,0,"19,526",0.2,0.2,0.41
Homewood,Homewood,2013,5,0,5,3,0,3,8,8,0,"20,012",0.25,0.15,0.4
Homewood,Homewood,2014,4,0,3,6,1,5,10,8,1,"19,642",0.2,0.31,0.51
Homewood,Homewood,2015,1,0,1,5,1,4,6,5,1,"19,375",0.05,0.26,0.31
Huntley,Huntley,2012,2,0,1,2,0,2,4,3,0,"23,897",0.08,0.08,0.17
Huntley,Huntley,2013,2,0,2,,,,2,2,0,"24,799",0.08,0,0.08
Huntley,Huntley,2014,3,0,3,1,0,1,4,4,0,"25,200",0.12,0.04,0.16
Huntley,Huntley,2015,3,0,3,1,0,1,4,4,0,"25,412",0.12,0.04,0.16
Indian Head Park,Indian Head Park,2012,1,0,1,,,,1,1,0,"3,807",0.26,0,0.26
Indian Head Park,Indian Head Park,2015,1,0,1,1,0,1,2,2,0,"3,827",0.26,0.26,0.52
Inverness,Inverness,2012,2,0,2,,,,2,2,0,"7,457",0.27,0,0.27
Inverness,Inverness,2013,1,0,1,,,,1,1,0,"7,245",0.14,0,0.14
Inverness,Inverness,2014,1,0,1,1,0,1,2,2,0,"7,516",0.13,0.13,0.27
Inverness,Inverness,2015,1,0,1,,,,1,1,0,"7,431",0.13,0,0.13
Island Lake,Island Lake,2012,1,0,1,1,0,1,2,2,0,"8,114",0.12,0.12,0.25
Island Lake,Island Lake,2013,,,,2,0,2,2,2,0,"8,076",0,0.25,0.25
Island Lake,Island Lake,2015,,,,3,1,2,3,2,1,"8,041",0,0.37,0.37
Itasca,Itasca,2012,3,0,3,2,0,2,5,5,0,"8,494",0.35,0.24,0.59
Itasca,Itasca,2013,3,0,3,1,0,1,4,4,0,"8,442",0.36,0.12,0.47
Itasca,Itasca,2015,3,0,3,3,0,3,6,6,0,"8,574",0.35,0.35,0.7
Johnsburg,Johnsburg,2012,1,0,1,,,,1,1,0,"6,325",0.16,0,0.16
Johnsburg,Johnsburg,2013,1,0,1,,,,1,1,0,"6,340",0.16,0,0.16
Johnsburg,Johnsburg,2014,1,0,1,,,,1,1,0,"6,322",0.16,0,0.16
Johnsburg,Johnsburg,2015,,,,1,0,1,1,1,0,"6,321",0,0.16,0.16
Joliet,Joliet,2012,29,0,27,45,1,43,74,70,1,"147,098",0.2,0.31,0.5
Joliet,Joliet,2013,41,0,41,32,0,31,73,72,0,"147,459",0.28,0.22,0.5
Joliet,Joliet,2014,28,0,27,41,2,38,69,65,2,"147,786",0.19,0.28,0.47
Joliet,Joliet,2015,28,1,27,39,1,37,67,64,2,"147,918",0.19,0.26,0.45
Justice,Justice,2012,1,0,1,5,0,4,6,5,0,"12,877",0.08,0.39,0.47
Justice,Justice,2013,1,0,1,2,0,2,3,3,0,"12,951",0.08,0.15,0.23
Justice,Justice,2014,1,0,1,2,1,1,3,2,1,"13,001",0.08,0.15,0.23
Justice,Justice,2015,2,0,2,2,1,1,4,3,1,"13,015",0.15,0.15,0.31
Kenilworth,Kenilworth,2012,2,0,2,,,,2,2,0,"2,669",0.75,0,0.75
Kenilworth,Kenilworth,2013,2,0,2,1,0,1,3,3,0,"2,786",0.72,0.36,1.08
Kenilworth,Kenilworth,2014,4,0,4,1,0,1,5,5,0,"2,648",1.51,0.38,1.89
Kenilworth,Kenilworth,2015,3,0,3,,,,3,3,0,"2,653",1.13,0,1.13
Kildeer,Kildeer,2012,1,0,1,,,,1,1,0,"3,952",0.25,0,0.25
Kildeer,Kildeer,2015,1,0,1,,,,1,1,0,"3,938",0.25,0,0.25
La Grange,LaGrange,2012,10,0,10,5,0,5,15,15,0,"15,563",0.64,0.32,0.96
La Grange,LaGrange,2013,4,0,4,6,0,6,10,10,0,"15,618",0.26,0.38,0.64
La Grange,LaGrange,2014,9,0,8,11,0,11,20,19,0,"15,675",0.57,0.7,1.28
La Grange,LaGrange,2015,9,0,9,6,0,6,15,15,0,"15,709",0.57,0.38,0.95
La Grange Park,LaGrange Park,2012,2,0,2,2,0,2,4,4,0,"13,552",0.15,0.15,0.3
La Grange Park,LaGrange Park,2013,3,0,3,1,0,1,4,4,0,"13,602",0.22,0.07,0.29
La Grange Park,LaGrange Park,2014,1,0,1,1,0,1,2,2,0,"13,624",0.07,0.07,0.15
La Grange Park,LaGrange Park,2015,3,0,3,4,0,4,7,7,0,"13,649",0.22,0.29,0.51
Lake Barrington,Lake Barrington,2013,,,,1,0,1,1,1,0,"4,863",0,0.21,0.21
Lake Bluff,Lake Bluff,2012,1,0,1,1,0,1,2,2,0,"6,214",0.16,0.16,0.32
Lake Bluff,Lake Bluff,2013,1,0,1,1,0,1,2,2,0,"5,932",0.17,0.17,0.34
Lake Bluff,Lake Bluff,2014,2,0,2,,,,2,2,0,"5,867",0.34,0,0.34
Lake Bluff,Lake Bluff,2015,2,0,2,,,,2,2,0,"5,813",0.34,0,0.34
Lake Forest,Lake Forest,2012,5,0,3,3,0,3,8,6,0,"19,068",0.26,0.16,0.42
Lake Forest,Lake Forest,2013,5,0,4,3,0,3,8,7,0,"19,044",0.26,0.16,0.42
Lake Forest,Lake Forest,2014,1,0,1,7,0,7,8,8,0,"18,914",0.05,0.37,0.42
Lake Forest,Lake Forest,2015,4,0,4,5,0,3,9,7,0,"18,951",0.21,0.26,0.47
Lake in the Hills,Lake In The Hills,2012,1,0,1,2,0,2,3,3,0,"28,894",0.03,0.07,0.1
Lake in the Hills,Lake In The Hills,2013,2,0,2,1,0,1,3,3,0,"28,932",0.07,0.03,0.1
Lake in the Hills,Lake In The Hills,2014,2,0,2,,,,2,2,0,"28,926",0.07,0,0.07
Lake in the Hills,Lake In The Hills,2015,2,0,2,4,0,4,6,6,0,"28,968",0.07,0.14,0.21
Lake Villa,Lake Villa,2012,,,,2,0,2,2,2,0,"8,827",0,0.23,0.23
Lake Villa,Lake Villa,2013,,,,1,0,1,1,1,0,"8,873",0,0.11,0.11
Lake Villa,Lake Villa,2014,,,,1,0,1,1,1,0,"8,860",0,0.11,0.11
Lake Villa,Lake Villa,2015,1,0,1,,,,1,1,0,"8,878",0.11,0,0.11
Lake Zurich,Lake Zurich,2012,,,,1,0,1,1,1,0,"19,679",0,0.05,0.05
Lake Zurich,Lake Zurich,2013,1,0,1,5,0,5,6,6,0,"19,771",0.05,0.25,0.3
Lake Zurich,Lake Zurich,2014,3,0,3,2,0,2,5,5,0,"19,849",0.15,0.1,0.25
Lake Zurich,Lake Zurich,2015,4,0,4,1,0,1,5,5,0,"19,923",0.2,0.05,0.25
Lakemoor,Lakemoor,2013,1,0,0,2,0,2,3,2,0,"6,536",0.15,0.31,0.46
Lakemoor,Lakemoor,2014,,,,1,0,1,1,1,0,"6,576",0,0.15,0.15
Lakewood,Lakewood,2013,1,0,1,,,,1,1,0,"4,298",0.23,0,0.23
Lansing,Lansing,2012,3,0,3,7,0,7,10,10,0,"28,270",0.11,0.25,0.35
Lansing,Lansing,2013,4,0,4,3,0,3,7,7,0,"28,378",0.14,0.11,0.25
Lansing,Lansing,2014,4,1,3,8,0,8,12,11,1,"28,486",0.14,0.28,0.42
Lansing,Lansing,2015,3,0,3,5,1,4,8,7,1,"28,445",0.11,0.18,0.28
Lemont,Lemont,2012,,,,2,0,2,2,2,0,"15,954",0,0.13,0.13
Lemont,Lemont,2013,2,0,1,3,0,3,5,4,0,"16,171",0.12,0.19,0.31
Lemont,Lemont,2014,,,,2,0,2,2,2,0,"16,376",0,0.12,0.12
Lemont,Lemont,2015,,,,2,0,1,2,1,0,"16,513",0,0.12,0.12
Libertyville,Libertyville,2012,4,0,4,6,0,6,10,10,0,"20,388",0.2,0.29,0.49
Libertyville,Libertyville,2013,8,0,8,2,0,2,10,10,0,"20,360",0.39,0.1,0.49
Libertyville,Libertyville,2014,1,0,1,6,0,6,7,7,0,"20,398",0.05,0.29,0.34
Libertyville,Libertyville,2015,3,0,3,2,0,2,5,5,0,"20,395",0.15,0.1,0.25
Lincolnshire,Lincolnshire,2012,3,0,3,2,0,2,5,5,0,"7,228",0.42,0.28,0.69
Lincolnshire,Lincolnshire,2014,1,0,1,4,0,4,5,5,0,"7,270",0.14,0.55,0.69
Lincolnshire,Lincolnshire,2015,2,0,2,,,,2,2,0,"7,271",0.28,0,0.28
Lincolnwood,Lincolnwood,2012,8,0,7,8,1,7,16,14,1,"12,538",0.64,0.64,1.28
Lincolnwood,Lincolnwood,2013,10,0,9,6,0,6,16,15,0,"12,611",0.79,0.48,1.27
Lincolnwood,Lincolnwood,2014,5,0,5,7,2,5,12,10,2,"12,653",0.4,0.55,0.95
Lincolnwood,Lincolnwood,2015,13,0,13,13,0,13,26,26,0,"12,666",1.03,1.03,2.05
Lindenhurst,Lindenhurst,2012,1,0,1,,,,1,1,0,"14,415",0.07,0,0.07
Lisle,Lisle,2012,4,0,4,5,0,5,9,9,0,"22,453",0.18,0.22,0.4
Lisle,Lisle,2013,4,0,3,1,0,0,5,3,0,"22,557",0.18,0.04,0.22
Lisle,Lisle,2014,2,0,1,5,0,5,7,6,0,"22,626",0.09,0.22,0.31
Lisle,Lisle,2015,4,0,4,6,0,6,10,10,0,"22,747",0.18,0.26,0.44
Lockport,Lockport,2012,1,0,1,4,0,4,5,5,0,"24,672",0.04,0.16,0.2
Lockport,Lockport,2013,,,,5,1,4,5,4,1,"24,862",0,0.2,0.2
Lockport,Lockport,2014,5,1,4,2,0,2,7,6,1,"25,063",0.2,0.08,0.28
Lockport,Lockport,2015,1,0,1,2,0,2,3,3,0,"25,088",0.04,0.08,0.12
Lombard,Lombard,2012,11,0,10,2,0,2,13,12,0,"43,180",0.25,0.05,0.3
Lombard,Lombard,2013,15,0,15,12,1,11,27,26,1,"43,492",0.34,0.28,0.62
Lombard,Lombard,2014,9,0,8,9,0,9,18,17,0,"43,853",0.21,0.21,0.41
Lombard,Lombard,2015,7,0,7,3,0,3,10,10,0,"43,957",0.16,0.07,0.23
Long Grove,Long Grove,2012,3,0,3,1,0,1,4,4,0,"8,031",0.37,0.12,0.5
Long Grove,Long Grove,2013,1,0,1,1,0,1,2,2,0,"8,015",0.12,0.12,0.25
Long Grove,Long Grove,2014,1,0,1,1,0,1,2,2,0,"8,017",0.12,0.12,0.25
Long Grove,Long Grove,2015,,,,1,0,1,1,1,0,"8,086",0,0.12,0.12
Lynwood,Lynnwood,2012,1,0,1,3,0,3,4,4,0,"9,042",0.11,0.33,0.44
Lynwood,Lynnwood,2013,2,0,2,3,0,3,5,5,0,"9,149",0.22,0.33,0.55
Lynwood,Lynnwood,2015,,,,1,0,1,1,1,0,"9,297",0,0.11,0.11
Lyons,Lyons,2012,2,0,2,5,0,5,7,7,0,"10,651",0.19,0.47,0.66
Lyons,Lyons,2013,4,0,3,5,0,5,9,8,0,"10,653",0.38,0.47,0.84
Lyons,Lyons,2014,2,0,1,3,0,2,5,3,0,"10,667",0.19,0.28,0.47
Lyons,Lyons,2015,6,0,6,6,0,6,12,12,0,"10,668",0.56,0.56,1.12
Manhattan,Manhattan,2014,,,,1,0,1,1,1,0,"7,017",0,0.14,0.14
Manhattan,Manhattan,2015,,,,1,0,1,1,1,0,"7,161",0,0.14,0.14
Marengo,Marengo,2012,3,0,3,1,0,1,4,4,0,"7,675",0.39,0.13,0.52
Marengo,Marengo,2013,,,,2,0,2,2,2,0,"7,475",0,0.27,0.27
Marengo,Marengo,2014,4,0,4,3,0,3,7,7,0,"7,451",0.54,0.4,0.94
Marengo,Marengo,2015,2,0,2,1,0,1,3,3,0,"7,714",0.26,0.13,0.39
Markham,Markham,2012,6,0,6,3,1,2,9,8,1,"12,514",0.48,0.24,0.72
Markham,Markham,2013,4,0,4,5,0,5,9,9,0,"12,575",0.32,0.4,0.72
Markham,Markham,2014,4,0,4,4,0,4,8,8,0,"12,625",0.32,0.32,0.63
Markham,Markham,2015,3,0,3,5,0,5,8,8,0,"12,685",0.24,0.39,0.63
Matteson,Matteson,2012,3,0,3,3,0,3,6,6,0,"18,692",0.16,0.16,0.32
Matteson,Matteson,2013,1,0,1,6,1,4,7,5,1,"18,965",0.05,0.32,0.37
Matteson,Matteson,2014,3,0,3,7,1,6,10,9,1,"19,097",0.16,0.37,0.52
Matteson,Matteson,2015,2,0,2,3,0,3,5,5,0,"19,159",0.1,0.16,0.26
Maywood,Maywood,2012,8,0,8,11,0,11,19,19,0,"24,177",0.33,0.45,0.79
Maywood,Maywood,2013,7,0,6,14,0,14,21,20,0,"24,143",0.29,0.58,0.87
Maywood,Maywood,2014,9,0,8,7,0,7,16,15,0,"24,148",0.37,0.29,0.66
Maywood,Maywood,2015,11,0,10,13,0,12,24,22,0,"24,138",0.46,0.54,0.99
McCook,Mccook,2013,,,,1,0,1,1,1,0,293,0,3.41,3.41
McCook,Mccook,2014,1,0,1,,,,1,1,0,212,4.72,0,4.72
McCook,Mccook,2015,,,,1,0,1,1,1,0,208,0,4.81,4.81
McCullom Lake,McCullom Lake,2014,,,,1,0,1,1,1,0,"1,001",0,1,1
McCullom Lake,McCullom Lake,2015,1,0,1,,,,1,1,0,913,1.1,0,1.1
McHenry,McHenry,2012,7,0,7,1,0,1,8,8,0,"26,862",0.26,0.04,0.3
McHenry,McHenry,2013,4,0,4,9,0,9,13,13,0,"26,863",0.15,0.34,0.48
McHenry,McHenry,2014,5,0,5,6,1,5,11,10,1,"26,803",0.19,0.22,0.41
McHenry,McHenry,2015,3,0,3,3,1,2,6,5,1,"26,739",0.11,0.11,0.22
Melrose Park,Melrose Park,2012,8,0,8,8,0,8,16,16,0,"25,241",0.32,0.32,0.63
Melrose Park,Melrose Park,2013,11,0,11,14,0,14,25,25,0,"25,393",0.43,0.55,0.98
Melrose Park,Melrose Park,2014,5,0,5,15,0,14,20,19,0,"25,514",0.2,0.59,0.78
Melrose Park,Melrose Park,2015,8,0,8,12,0,11,20,19,0,"25,491",0.31,0.47,0.78
Merrionette Park,Merrionette Park,2012,1,0,1,2,1,1,3,2,1,"2,088",0.48,0.96,1.44
Merrionette Park,Merrionette Park,2013,,,,1,0,1,1,1,0,"1,766",0,0.57,0.57
Merrionette Park,Merrionette Park,2015,1,0,1,1,0,1,2,2,0,"1,812",0.55,0.55,1.1
Mettawa,Mettawa,2014,1,0,1,,,,1,1,0,455,2.2,0,2.2
Midlothian,Midlothian,2012,5,0,5,6,1,5,11,10,1,"14,788",0.34,0.41,0.74
Midlothian,Midlothian,2013,1,0,1,7,0,7,8,8,0,"14,852",0.07,0.47,0.54
Midlothian,Midlothian,2014,2,0,1,5,0,5,7,6,0,"14,901",0.13,0.34,0.47
Midlothian,Midlothian,2015,2,0,2,7,2,5,9,7,2,"14,906",0.13,0.47,0.6
Mokena,Mokena,2012,6,0,6,1,0,1,7,7,0,"18,424",0.33,0.05,0.38
Mokena,Mokena,2013,1,0,1,2,0,2,3,3,0,"18,772",0.05,0.11,0.16
Mokena,Mokena,2014,2,0,2,1,0,1,3,3,0,"18,804",0.11,0.05,0.16
Mokena,Mokena,2015,5,0,5,1,0,1,6,6,0,"19,369",0.26,0.05,0.31
Monee,Monee,2013,1,0,1,,,,1,1,0,"5,114",0.2,0,0.2
Monee,Monee,2015,1,0,1,,,,1,1,0,"5,114",0.2,0,0.2
Montgomery,Montgomery,2012,5,0,5,2,0,2,7,7,0,"18,123",0.28,0.11,0.39
Montgomery,Montgomery,2013,2,0,2,2,1,1,4,3,1,"18,505",0.11,0.11,0.22
Montgomery,Montgomery,2015,,,,1,1,0,1,0,1,"19,196",0,0.05,0.05
Morton Grove,Morton Grove,2012,12,0,11,3,0,3,15,14,0,"23,194",0.52,0.13,0.65
Morton Grove,Morton Grove,2013,5,0,5,8,2,6,13,11,2,"23,341",0.21,0.34,0.56
Morton Grove,Morton Grove,2014,7,0,6,9,0,9,16,15,0,"23,424",0.3,0.38,0.68
Morton Grove,Morton Grove,2015,10,0,10,3,1,1,13,11,1,"23,472",0.43,0.13,0.55
Mount Prospect,Mt Prospect,2012,9,0,9,7,1,6,16,15,1,"54,144",0.17,0.13,0.3
Mount Prospect,Mt Prospect,2013,5,0,5,12,0,12,17,17,0,"54,436",0.09,0.22,0.31
Mount Prospect,Mt Prospect,2014,9,0,8,8,1,7,17,15,1,"54,589",0.16,0.15,0.31
Mount Prospect,Mt Prospect,2015,16,0,16,12,1,9,28,25,1,"54,710",0.29,0.22,0.51
Mundelein,Mundelein,2012,8,0,6,2,0,2,10,8,0,"31,506",0.25,0.06,0.32
Mundelein,Mundelein,2013,7,0,7,5,1,4,12,11,1,"31,343",0.22,0.16,0.38
Mundelein,Mundelein,2014,7,1,6,4,1,3,11,9,2,"31,498",0.22,0.13,0.35
Mundelein,Mundelein,2015,1,0,1,2,0,2,3,3,0,"31,624",0.03,0.06,0.09
Naperville,Naperville,2012,36,0,35,16,0,15,52,50,0,"142,143",0.25,0.11,0.37
Naperville,Naperville,2013,31,1,30,28,0,26,59,56,1,"143,223",0.22,0.2,0.41
Naperville,Naperville,2014,23,0,22,18,1,17,41,39,1,"144,108",0.16,0.12,0.28
Naperville,Naperville,2015,23,0,23,25,0,23,48,46,0,"145,058",0.16,0.17,0.33
New Lenox,New Lenox,2012,2,0,1,2,0,2,4,3,0,"24,369",0.08,0.08,0.16
New Lenox,New Lenox,2013,,,,4,0,4,4,4,0,"24,536",0,0.16,0.16
New Lenox,New Lenox,2014,2,0,2,2,0,2,4,4,0,"24,747",0.08,0.08,0.16
New Lenox,New Lenox,2015,1,0,1,5,1,4,6,5,1,"25,024",0.04,0.2,0.24
Niles,Niles,2012,12,0,12,15,0,15,27,27,0,"29,720",0.4,0.5,0.91
Niles,Niles,2013,15,0,15,18,0,18,33,33,0,"29,923",0.5,0.6,1.1
Niles,Niles,2014,6,1,5,13,1,12,19,17,2,"29,939",0.2,0.43,0.63
Niles,Niles,2015,9,0,8,22,2,18,31,26,2,"29,955",0.3,0.73,1.03
Norridge,Norridge,2012,8,0,8,10,0,10,18,18,0,"14,656",0.55,0.68,1.23
Norridge,Norridge,2013,9,0,8,15,0,14,24,22,0,"14,726",0.61,1.02,1.63
Norridge,Norridge,2014,9,1,6,10,0,10,19,16,1,"14,713",0.61,0.68,1.29
Norridge,Norridge,2015,10,0,7,9,0,7,19,14,0,"14,856",0.67,0.61,1.28
North Aurora,No Aurora,2012,2,0,2,1,0,1,3,3,0,"16,231",0.12,0.06,0.18
North Aurora,No Aurora,2013,1,0,1,1,0,1,2,2,0,"16,649",0.06,0.06,0.12
North Aurora,No Aurora,2014,,,,2,0,2,2,2,0,"16,927",0,0.12,0.12
North Aurora,No Aurora,2015,1,0,1,,,,1,1,0,"17,154",0.06,0,0.06
North Barrington,N Barrington,2015,,,,1,0,1,1,1,0,"3,032",0,0.33,0.33
North Chicago,North Chicago,2012,7,0,7,8,0,7,15,14,0,"31,677",0.22,0.25,0.47
North Chicago,North Chicago,2013,4,0,4,6,0,6,10,10,0,"31,122",0.13,0.19,0.32
North Chicago,North Chicago,2014,4,0,4,3,1,2,7,6,1,"30,760",0.13,0.1,0.23
North Chicago,North Chicago,2015,1,0,1,2,0,2,3,3,0,"29,925",0.03,0.07,0.1
North Riverside,North Riverside,2012,3,0,3,8,0,8,11,11,0,"6,920",0.43,1.16,1.59
North Riverside,North Riverside,2013,3,1,2,3,0,2,6,4,1,"7,004",0.43,0.43,0.86
North Riverside,North Riverside,2014,1,0,1,3,0,3,4,4,0,"6,940",0.14,0.43,0.58
