town,town2,year,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal,pop,cycle_rate,ped_rate,total_rate
Bloomingdale,Bloomingdale,2014,5,0,5,2,0,2,7,7,0,"22,208",0.23,0.09,0.32
Bloomingdale,Bloomingdale,2015,4,0,4,2,0,2,6,6,0,"22,261",0.18,0.09,0.27
Blue Island,Blue Island,2012,2,0,1,12,0,12,14,13,0,"23,457",0.09,0.51,0.6
Blue Island,Blue Island,2013,6,0,6,14,0,13,20,19,0,"23,621",0.25,0.59,0.85
Blue Island,Blue Island,2014,4,0,3,11,1,9,15,12,1,"23,453",0.17,0.47,0.64
Blue Island,Blue Island,2015,4,0,4,8,1,7,12,11,1,"23,096",0.17,0.35,0.52
Bolingbrook,Bolingbrook,2012,16,0,14,10,0,8,26,22,0,"73,383",0.22,0.14,0.35
Bolingbrook,Bolingbrook,2013,10,0,10,15,0,15,25,25,0,"73,799",0.14,0.2,0.34
Bolingbrook,Bolingbrook,2014,10,0,9,11,0,11,21,20,0,"74,112",0.13,0.15,0.28
Bolingbrook,Bolingbrook,2015,11,0,11,7,1,6,18,17,1,"74,371",0.15,0.09,0.24
Braidwood,Braidwood,2013,,,,1,0,1,1,1,0,"6,033",0,0.17,0.17
Braidwood,Braidwood,2014,,,,1,0,1,1,1,0,"6,191",0,0.16,0.16
Braidwood,Braidwood,2015,1,0,1,,,,1,1,0,"6,049",0.17,0,0.17
Bridgeview,Bridgeview,2012,11,0,11,20,2,17,31,28,2,"16,394",0.67,1.22,1.89
Bridgeview,Bridgeview,2013,7,0,7,17,0,17,24,24,0,"16,457",0.43,1.03,1.46
Bridgeview,Bridgeview,2014,3,0,3,7,0,7,10,10,0,"16,550",0.18,0.42,0.6
Bridgeview,Bridgeview,2015,7,0,7,5,0,5,12,12,0,"16,359",0.43,0.31,0.73
Broadview,Broadview,2012,6,1,5,5,0,5,11,10,1,"7,938",0.76,0.63,1.39
Broadview,Broadview,2013,2,0,2,2,0,2,4,4,0,"7,940",0.25,0.25,0.5
Broadview,Broadview,2014,1,0,1,9,0,8,10,9,0,"7,956",0.13,1.13,1.26
Broadview,Broadview,2015,4,0,4,5,0,5,9,9,0,"7,957",0.5,0.63,1.13
Brookfield,Brookfield,2012,4,0,3,7,1,6,11,9,1,"18,812",0.21,0.37,0.58
Brookfield,Brookfield,2013,6,0,6,3,0,3,9,9,0,"18,968",0.32,0.16,0.47
