towns,Year,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal,town
Addison,2014,7,0,7,4,0,4,11,11,0,Addison
Algonquin,2014,3,0,3,2,0,2,5,5,0,Algonquin
Alsip,2014,2,0,2,5,0,4,7,6,0,Alsip
Antioch,2014,1,0,1,2,0,2,3,3,0,Antioch
Arlington Hts,2014,24,0,24,14,0,14,38,38,0,Arlington Heights
Aurora,2014,44,1,43,57,3,53,101,96,4,Aurora
Barrington,2014,1,0,1,2,0,2,3,3,0,Barrington
Barrington Hills,2014,1,0,1,NA,NA,NA,1,1,0,Barrington Hills
Bartlett,2014,2,0,2,5,0,5,7,7,0,Bartlett
Batavia,2014,1,0,1,3,0,3,4,4,0,Batavia
Beach Park,2014,NA,NA,NA,2,0,2,2,2,0,Beach Park
Bellwood,2014,6,0,6,6,0,6,12,12,0,Bellwood
Bensenville,2014,2,0,2,1,0,1,3,3,0,Bensenville
Berkeley,2014,NA,NA,NA,4,0,4,4,4,0,Berkeley
Berwyn,2014,33,1,30,37,0,36,70,66,1,Berwyn
Bloomingdale,2014,5,0,5,2,0,2,7,7,0,Bloomingdale
Blue Island,2014,4,0,3,11,1,9,15,12,1,Blue Island
Bolingbrook,2014,10,0,9,11,0,11,21,20,0,Bolingbrook
Braidwood,2014,NA,NA,NA,1,0,1,1,1,0,Braidwood
Bridgeview,2014,3,0,3,7,0,7,10,10,0,Bridgeview
Broadview,2014,1,0,1,9,0,8,10,9,0,Broadview
Brookfield,2014,5,0,4,3,0,3,8,7,0,Brookfield
Buffalo Grove,2014,2,0,2,4,0,4,6,6,0,Buffalo Grove
Burbank,2014,4,0,4,9,0,9,13,13,0,Burbank
Burr Ridge,2014,2,0,2,NA,NA,NA,2,2,0,Burr Ridge
Calumet City,2014,5,0,5,15,0,15,20,20,0,Calumet City
Calumet Park,2014,2,0,2,4,0,4,6,6,0,Calumet Park
Campton Hills,2014,1,0,1,NA,NA,NA,1,1,0,Campton Hills
Carol Stream,2014,5,0,5,4,0,4,9,9,0,Carol Stream
Carpentersville,2014,2,0,2,4,0,4,6,6,0,Carpentersville
Cary,2014,2,0,2,1,0,1,3,3,0,Cary
Chicago,2014,1654,6,1525,2655,35,2483,4309,4008,41,Chicago
Chicago Hts,2014,4,0,4,17,1,16,21,20,1,Chicago Heights
Chicago Ridge,2014,2,0,1,2,0,2,4,3,0,Chicago Ridge
Cicero,2014,27,0,27,47,0,45,74,72,0,Cicero
Clarendon Hills,2014,NA,NA,NA,1,0,1,1,1,0,Clarendon Hills
Countryside,2014,3,0,3,4,0,4,7,7,0,Countryside
Crest Hill,2014,1,0,1,2,1,1,3,2,1,Crest Hill
Crestwood,2014,3,0,2,1,0,1,4,3,0,Crestwood
Crete,2014,1,0,0,NA,NA,NA,1,0,0,Crete
Crystal Lake,2014,9,0,9,11,0,10,20,19,0,Crystal Lake
Darien,2014,7,0,7,2,0,2,9,9,0,Darien
Deerfield,2014,5,0,4,1,0,1,6,5,0,Deerfield
Des Plaines,2014,15,0,15,19,1,18,34,33,1,Des Plaines
Dolton,2014,1,0,1,10,0,10,11,11,0,Dolton
Downers Grove,2014,13,0,13,10,0,10,23,23,0,Downers Grove
East Dundee,2014,1,0,1,NA,NA,NA,1,1,0,East Dundee
Elburn,2014,1,0,1,NA,NA,NA,1,1,0,Elburn
Elgin,2014,14,1,13,31,0,30,45,43,1,Elgin
Elk Grove,2014,6,0,4,6,0,6,12,10,0,Elk Grove Village
Elmhurst,2014,15,0,15,12,0,12,27,27,0,Elmhurst
Elmwood Park,2014,6,0,5,10,0,10,16,15,0,Elmwood Park
Evanston,2014,48,1,46,44,1,41,92,87,2,Evanston
Evergreen Park,2014,4,0,4,9,0,9,13,13,0,Evergreen Park
Flossmoor,2014,1,0,1,NA,NA,NA,1,1,0,Flossmoor
Forest Park,2014,5,0,5,16,1,15,21,20,1,Forest Park
Fox Lake,2014,2,0,2,2,0,2,4,4,0,Fox Lake
Fox River Grove,2014,1,0,1,1,0,0,2,1,0,Fox River Grove
Frankfort,2014,1,0,1,1,0,1,2,2,0,Frankfort
Franklin Park,2014,8,0,8,3,0,3,11,11,0,Franklin Park
Geneva,2014,3,0,3,7,0,7,10,10,0,Geneva
Glen Ellyn,2014,4,0,4,11,0,10,15,14,0,Glen Ellyn
Glencoe,2014,2,0,2,4,0,4,6,6,0,Glencoe
Glendale Hts,2014,5,0,5,6,0,6,11,11,0,Glendale Heights
Glenview,2014,19,0,19,9,0,9,28,28,0,Glenview
Godley,2014,NA,NA,NA,1,0,1,1,1,0,Godley
Grayslake,2014,4,0,4,2,0,2,6,6,0,Grayslake
Gurnee,2014,1,0,1,3,0,3,4,4,0,Gurnee
Hampshire,2014,1,0,1,NA,NA,NA,1,1,0,Hampshire
Hanover Park,2014,2,0,2,11,0,11,13,13,0,Hanover Park
Harvard,2014,2,0,2,1,0,1,3,3,0,Harvard
Harvey,2014,7,0,7,18,0,17,25,24,0,Harvey
Harwood Hts,2014,3,0,2,8,1,7,11,9,1,Harwood Heights
Hazelcrest,2014,2,0,2,1,1,0,3,2,1,Hazel Crest
Hickory Hills,2014,6,0,6,2,0,2,8,8,0,Hickory Hills
Highland Park,2014,7,0,7,5,0,5,12,12,0,Highland Park
Highwood,2014,1,0,1,2,1,1,3,2,1,Highwood
Hillside,2014,3,0,2,5,0,5,8,7,0,Hillside
Hinsdale,2014,2,0,2,2,0,2,4,4,0,Hinsdale
Hodgkins,2014,2,0,2,NA,NA,NA,2,2,0,Hodgkins
Hoffman Estates,2014,10,0,10,8,0,8,18,18,0,Hoffman Estates
Homer Glen,2014,NA,NA,NA,2,0,1,2,1,0,Homer Glen
Hometown,2014,2,0,2,1,0,1,3,3,0,Hometown
Homewood,2014,4,0,3,6,1,5,10,8,1,Homewood
Huntley,2014,3,0,3,1,0,1,4,4,0,Huntley
Inverness,2014,1,0,1,1,0,1,2,2,0,Inverness
Johnsburg,2014,1,0,1,NA,NA,NA,1,1,0,Johnsburg
Joliet,2014,28,0,27,41,2,38,69,65,2,Joliet
Justice,2014,1,0,1,2,1,1,3,2,1,Justice
Kenilworth,2014,4,0,4,1,0,1,5,5,0,Kenilworth
LaGrange,2014,9,0,8,11,0,11,20,19,0,La Grange
LaGrange Park,2014,1,0,1,1,0,1,2,2,0,La Grange Park
Lake Bluff,2014,2,0,2,NA,NA,NA,2,2,0,Lake Bluff
Lake Forest,2014,1,0,1,7,0,7,8,8,0,Lake Forest
Lake In The Hills,2014,2,0,2,NA,NA,NA,2,2,0,Lake in the Hills
Lake Villa,2014,NA,NA,NA,1,0,1,1,1,0,Lake Villa
Lake Zurich,2014,3,0,3,2,0,2,5,5,0,Lake Zurich
Lakemoor,2014,NA,NA,NA,1,0,1,1,1,0,Lakemoor
Lansing,2014,4,1,3,8,0,8,12,11,1,Lansing
Lemont,2014,NA,NA,NA,2,0,2,2,2,0,Lemont
Libertyville,2014,1,0,1,6,0,6,7,7,0,Libertyville
Lincolnshire,2014,1,0,1,4,0,4,5,5,0,Lincolnshire
Lincolnwood,2014,5,0,5,7,2,5,12,10,2,Lincolnwood
Lisle,2014,2,0,1,5,0,5,7,6,0,Lisle
Lockport,2014,5,1,4,2,0,2,7,6,1,Lockport
Lombard,2014,9,0,8,9,0,9,18,17,0,Lombard
Long Grove,2014,1,0,1,1,0,1,2,2,0,Long Grove
Lyons,2014,2,0,1,3,0,2,5,3,0,Lyons
Manhattan,2014,NA,NA,NA,1,0,1,1,1,0,Manhattan
Marengo,2014,4,0,4,3,0,3,7,7,0,Marengo
Markham,2014,4,0,4,4,0,4,8,8,0,Markham
Matteson,2014,3,0,3,7,1,6,10,9,1,Matteson
Maywood,2014,9,0,8,7,0,7,16,15,0,Maywood
Mccook,2014,1,0,1,NA,NA,NA,1,1,0,McCook
McCullom Lake,2014,NA,NA,NA,1,0,1,1,1,0,McCullom Lake
McHenry,2014,5,0,5,6,1,5,11,10,1,McHenry
Melrose Park,2014,5,0,5,15,0,14,20,19,0,Melrose Park
Mettawa,2014,1,0,1,NA,NA,NA,1,1,0,Mettawa
Midlothian,2014,2,0,1,5,0,5,7,6,0,Midlothian
Mokena,2014,2,0,2,1,0,1,3,3,0,Mokena
Morton Grove,2014,7,0,6,9,0,9,16,15,0,Morton Grove
Mt Prospect,2014,9,0,8,8,1,7,17,15,1,Mount Prospect
Mundelein,2014,7,1,6,4,1,3,11,9,2,Mundelein
Naperville,2014,23,0,22,18,1,17,41,39,1,Naperville
New Lenox,2014,2,0,2,2,0,2,4,4,0,New Lenox
Niles,2014,6,1,5,13,1,12,19,17,2,Niles
No Aurora,2014,NA,NA,NA,2,0,2,2,2,0,North Aurora
Norridge,2014,9,1,6,10,0,10,19,16,1,Norridge
North Chicago,2014,4,0,4,3,1,2,7,6,1,North Chicago
North Lake,2014,2,0,2,4,1,3,6,5,1,Northlake
North Riverside,2014,1,0,1,3,0,3,4,4,0,North Riverside
Northbrook,2014,8,0,8,4,1,3,12,11,1,Northbrook
Northfield,2014,NA,NA,NA,1,0,1,1,1,0,Northfield
Oak Brook,2014,2,0,2,4,0,4,6,6,0,Oak Brook
Oak Forest,2014,2,0,1,3,0,2,5,3,0,Oak Forest
Oak Lawn,2014,12,0,12,26,2,24,38,36,2,Oak Lawn
Oak Park,2014,22,0,21,37,0,37,59,58,0,Oak Park
