town,year,pop2014
Abingdon,2014,2777
Adair,2014,214
Addieville,2014,280
Addison,2014,37215
Adeline,2014,72
Albany,2014,1047
Albers,2014,1163
Albion,2014,2139
Aledo,2014,3724
Alexis,2014,862
Algonquin,2014,30189
Alhambra,2014,675
Allendale,2014,633
Allenville,2014,130
Allerton,2014,244
Alma,2014,382
Alorton,2014,1729
Alpha,2014,595
Alsey,2014,264
Alsip,2014,19385
Altamont,2014,2257
Alton,2014,27517
Altona,2014,482
Alto Pass,2014,486
Alvan,2014,255
Amboy,2014,2319
Anchor,2014,130
Andalusia,2014,1471
Andover,2014,582
Anna,2014,4385
Annapolis,2014,55
Annawan,2014,930
Antioch,2014,14395
Apple Canyon Lake,2014,382
Apple River,2014,485
Arcola,2014,3017
Arenzville,2014,317
Argenta,2014,972
Arlington,2014,180
Arlington Heights,2014,75577
Armington,2014,359
Aroma Park,2014,624
Arrowsmith,2014,344
Arthur,2014,2448
Ashkum,2014,807
Ashland,2014,1200
Ashley,2014,505
Ashmore,2014,870
Ashton,2014,947
Assumption,2014,1266
Astoria,2014,1141
Athens,2014,1996
Atkinson,2014,1034
Atlanta,2014,1243
Atwood,2014,1164
Auburn,2014,5004
Augusta,2014,609
Aurora,2014,199878
Ava,2014,703
Aviston,2014,2092
Avon,2014,711
Baldwin,2014,396
Banner,2014,188
Bannockburn,2014,1460
Bardolph,2014,243
Barrington,2014,10830
Barrington Hills,2014,3653
Barry,2014,1287
Bartelso,2014,653
Bartlett,2014,41529
Bartonville,2014,6440
Basco,2014,85
Batavia,2014,25905
Batchtown,2014,193
Bath,2014,268
Baylis,2014,182
Bay View Gardens,2014,354
Beach Park,2014,13851
Beardstown,2014,6336
Beason,2014,185
Beaverville,2014,314
Beckemeyer,2014,988
Bedford Park,2014,604
Beecher,2014,4568
Beecher City,2014,415
Belgium,2014,379
Belknap,2014,75
Belle Prairie City,2014,63
Belle Rive,2014,373
Belleville,2014,43296
Bellevue,2014,1576
Bellflower,2014,353
Bellmont,2014,193
Bellwood,2014,19149
Belvidere,2014,25713
Bement,2014,1765
Benld,2014,1773
Bensenville,2014,18457
Benson,2014,403
Bentley,2014,47
Benton,2014,7185
Berkeley,2014,5219
Berlin,2014,133
Berwyn,2014,56762
Bethalto,2014,9443
Bethany,2014,1269
Biggsville,2014,273
Big Rock,2014,1053
Bingham,2014,77
Bishop Hill,2014,137
Bismarck,2014,544
Blandinsville,2014,695
Bloomingdale,2014,22208
Bloomington,2014,77883
Blue Island,2014,23453
Blue Mound,2014,1169
Bluffs,2014,742
Bluford,2014,611
Bolingbrook,2014,74112
Bondville,2014,516
Bone Gap,2014,211
Bonfield,2014,299
Bonnie,2014,456
Boody,2014,249
Boulder Hill,2014,8349
Bourbonnais,2014,18641
Bowen,2014,489
Braceville,2014,831
Bradford,2014,798
Bradley,2014,15822
Braidwood,2014,6191
Breese,2014,4577
Bridgeport,2014,1267
Bridgeview,2014,16550
Brighton,2014,2122
Brimfield,2014,963
Broadlands,2014,350
Broadview,2014,7956
Broadwell,2014,101
Brocton,2014,390
Brookfield,2014,19022
Brooklyn,2014,807
Brookport,2014,924
Broughton,2014,286
Browning,2014,80
Browns,2014,145
Brownstown,2014,700
Brussels,2014,128
Bryant,2014,174
Buckingham,2014,337
Buckley,2014,621
Buckner,2014,522
Buda,2014,671
Buffalo,2014,483
Buffalo Grove,2014,41613
Bull Valley,2014,1202
Bulpitt,2014,291
Buncombe,2014,216
Bunker Hill,2014,1644
Burbank,2014,29097
Bureau Junction,2014,237
Burlington,2014,623
Burnham,2014,4225
Burnt Prairie,2014,67
Burr Ridge,2014,10678
Bush,2014,293
Bushnell,2014,3049
Butler,2014,138
Byron,2014,3694
Cabery,2014,390
Cahokia,2014,14905
Cairo,2014,2688
Caledonia,2014,215
Calhoun,2014,190
Calumet City,2014,37197
Calumet Park,2014,8189
Camargo,2014,531
Cambria,2014,1500
Cambridge,2014,2189
Camden,2014,123
Campbell Hill,2014,247
Camp Point,2014,1343
Campton Hills,2014,10908
Campus,2014,172
Candlewick Lake,2014,4453
Canton,2014,14650
Cantrall,2014,121
Capron,2014,1793
Carbon Cliff,2014,2013
Carbondale,2014,26374
Carbon Hill,2014,404
Carlinville,2014,5615
Carlock,2014,777
Carlyle,2014,3317
Carmi,2014,5307
Carol Stream,2014,40136
Carpentersville,2014,38128
Carrier Mills,2014,1813
Carrollton,2014,2631
Carterville,2014,5635
Carthage,2014,2600
Cary,2014,18115
Casey,2014,2477
Caseyville,2014,4080
Catlin,2014,2157
Cave-In-Rock,2014,304
Cedar Point,2014,307
Cedarville,2014,603
Central City,2014,1076
Centralia,2014,12880
Centreville,2014,5208
Cerro Gordo,2014,1298
Chadwick,2014,454
Champaign,2014,82848
Chandlerville,2014,671
Channahon,2014,12422
Channel Lake,2014,1337
Chapin,2014,461
Charleston,2014,22065
Chatham,2014,12131
Chatsworth,2014,1136
Chebanse,2014,1140
Chemung,2014,211
Chenoa,2014,1806
Cherry,2014,429
Cherry Valley,2014,2884
Chester,2014,8495
Chesterfield,2014,224
Chestnut,2014,163
Chicago,2014,2712608
Chicago Heights,2014,30410
Chicago Ridge,2014,14410
Chillicothe,2014,6181
Chrisman,2014,1389
Christopher,2014,2828
Cicero,2014,84423
Cisco,2014,243
Cisne,2014,696
Cissna Park,2014,806
Claremont,2014,227
Clarendon Hills,2014,8548
Clay City,2014,959
Clayton,2014,651
Clear Lake,2014,262
Cleveland,2014,137
Clifton,2014,1432
Clinton,2014,6931
Coal City,2014,5460
Coalton,2014,265
Coal Valley,2014,3692
Coatsburg,2014,137
Cobden,2014,1359
Coffeen,2014,446
Colchester,2014,1391
Coleta,2014,244
Colfax,2014,1096
Collinsville,2014,25282
Colona,2014,5057
Colp,2014,269
Columbia,2014,9889
Columbus,2014,119
Como,2014,321
Compton,2014,298
Concord,2014,137
Congerville,2014,500
Cooksville,2014,197
Cordova,2014,648
Cornell,2014,366
Cornland,2014,51
Cortland,2014,4375
Coulterville,2014,993
Country Club Hills,2014,16752
Countryside,2014,5974
Cowden,2014,579
Coyne Center,2014,900
Crab Orchard,2014,354
Crainville,2014,1278
Creal Springs,2014,574
Crescent City,2014,703
Crest Hill,2014,20444
Creston,2014,792
Crestwood,2014,11006
Crete,2014,8284
Creve Coeur,2014,5717
Crossville,2014,656
Crystal Lake,2014,40598
Crystal Lawns,2014,2306
Cuba,2014,1431
Cullom,2014,633
Curran,2014,180
Cutler,2014,443
Cypress,2014,295
Dahlgren,2014,389
Dakota,2014,538
Dallas City,2014,1153
Dalton City,2014,504
Dalzell,2014,732
Damiansville,2014,504
Dana,2014,97
Danforth,2014,543
Danvers,2014,1117
Danville,2014,32483
Darien,2014,22251
Darmstadt,2014,0
Davis,2014,838
Davis Junction,2014,2566
Dawson,2014,520
Dayton,2014,521
Decatur,2014,75088
Deer Creek,2014,781
Deerfield,2014,18476
Deer Grove,2014,67
Deer Park,2014,3247
DeKalb,2014,44092
De Land,2014,487
Delavan,2014,1543
De Pue,2014,1787
De Soto,2014,1475
Des Plaines,2014,58802
Detroit,2014,147
De Witt,2014,203
Diamond,2014,2764
Dieterich,2014,646
Divernon,2014,1363
Dix,2014,456
Dixmoor,2014,3635
Dixon,2014,14963
Dolton,2014,23262
Dongola,2014,780
Donnellson,2014,185
Donovan,2014,350
Dorchester,2014,147
Dover,2014,151
Dowell,2014,303
Downers Grove,2014,49372
Downs,2014,1017
Du Bois,2014,184
Dunfermline,2014,296
Dunlap,2014,1592
Dupo,2014,4045
Du Quoin,2014,6012
Durand,2014,1203
Dwight,2014,4104
Eagarville,2014,161
Earlville,2014,1729
East Alton,2014,6231
East Brooklyn,2014,147
East Cape Girardeau,2014,672
East Carondelet,2014,546
East Dubuque,2014,1751
East Dundee,2014,3003
East Galesburg,2014,814
East Gillespie,2014,219
East Hazel Crest,2014,1652
East Moline,2014,21294
Easton,2014,345
East Peoria,2014,23225
East St. Louis,2014,26697
Eddyville,2014,85
Edgewood,2014,492
Edinburg,2014,1065
Edwardsville,2014,24464
Effingham,2014,12428
Elburn,2014,5733
El Dara,2014,116
Eldorado,2014,4139
Eldred,2014,191
Elgin,2014,110906
Elizabeth,2014,819
Elizabethtown,2014,255
Elk Grove Village,2014,33288
Elkhart,2014,377
Elkville,2014,1048
Elliott,2014,264
Ellis Grove,2014,500
Ellisville,2014,122
Ellsworth,2014,249
Elmhurst,2014,45105
Elmwood,2014,2235
Elmwood Park,2014,24960
El Paso,2014,2582
Elsah,2014,698
Elvaston,2014,104
Elwood,2014,2165
Emden,2014,347
Emington,2014,122
Energy,2014,1039
Enfield,2014,655
Equality,2014,643
Erie,2014,1594
Essex,2014,905
Eureka,2014,5638
Evanston,2014,75282
Evansville,2014,702
Evergreen Park,2014,19924
Ewing,2014,305
Exeter,2014,119
Fairbury,2014,3842
Fairfield,2014,5080
Fairmont,2014,2384
Fairmont City,2014,2650
Fairmount,2014,534
Fairview,2014,515
Fairview Heights,2014,17250
Farina,2014,663
Farmer City,2014,2054
Farmersville,2014,568
Farmington,2014,2283
Fayetteville,2014,441
Ferris,2014,166
Fidelity,2014,140
Fieldon,2014,224
Fillmore,2014,289
Findlay,2014,777
Fisher,2014,1792
Fithian,2014,481
Flanagan,2014,1111
Flat Rock,2014,338
Flora,2014,5045
Floraville,2014,0
Florence,2014,28
Flossmoor,2014,9339
Foosland,2014,123
Ford Heights,2014,2777
Forest City,2014,232
Forest Lake,2014,1750
Forest Park,2014,14202
Forest View,2014,774
Forrest,2014,1202
Forreston,2014,1657
Forsyth,2014,3690
Fox Lake,2014,10757
Fox Lake Hills,2014,2274
Fox River Grove,2014,4749
Frankfort,2014,18100
Frankfort Square,2014,9143
Franklin,2014,564
Franklin Grove,2014,1232
Franklin Park,2014,18389
Freeburg,2014,4252
Freeman Spur,2014,262
Freeport,2014,25225
Fulton,2014,3538
Fults,2014,22
Gages Lake,2014,10330
Galatia,2014,808
Galena,2014,3358
Galesburg,2014,31898
Galva,2014,2560
Garden Prairie,2014,230
Gardner,2014,1325
Garrett,2014,123
Gays,2014,310
Geneseo,2014,6500
Geneva,2014,21662
Genoa,2014,5716
Georgetown,2014,531
Georgetown,2014,3437
Germantown,2014,1142
Germantown Hills,2014,3439
German Valley,2014,481
Gibson City,2014,3542
Gifford,2014,923
Gilberts,2014,7256
Gillespie,2014,3346
Gilman,2014,1703
Gilson,2014,179
Girard,2014,1804
Gladstone,2014,257
Glasford,2014,1018
Glasgow,2014,130
Glen Carbon,2014,13095
Glencoe,2014,8824
Glendale Heights,2014,34436
Glen Ellyn,2014,27394
Glenview,2014,45400
Glenwood,2014,9040
Godfrey,2014,17911
Godley,2014,622
Golconda,2014,822
Golden,2014,706
Golden Gate,2014,48
Golf,2014,490
Goodfield,2014,1044
Good Hope,2014,389
Goofy Ridge,2014,242
Goreville,2014,1189
Gorham,2014,168
Grafton,2014,719
Grand Detour,2014,394
Grand Ridge,2014,512
Grand Tower,2014,407
Grandview,2014,1351
Grandwood Park,2014,5606
Granite City,2014,29764
Grantfork,2014,393
Grant Park,2014,1323
Granville,2014,1457
Grayslake,2014,20863
Grayville,2014,1722
Greenfield,2014,1346
Green Oaks,2014,3844
Greenup,2014,1794
Green Valley,2014,786
Greenview,2014,924
Greenville,2014,6860
Greenwood,2014,400
Gridley,2014,1377
Griggsville,2014,955
Gulf Port,2014,24
Gurnee,2014,31182
Hainesville,2014,3682
Hamburg,2014,124
Hamel,2014,878
Hamilton,2014,3059
Hammond,2014,418
Hampshire,2014,6053
Hampton,2014,2061
Hanaford,2014,312
Hanna City,2014,1308
Hanover,2014,794
Hanover Park,2014,38302
Hardin,2014,1046
Harmon,2014,121
Harrisburg,2014,8989
Harrison,2014,982
Harristown,2014,1431
Hartford,2014,1529
Hartsburg,2014,221
Harvard,2014,9829
Harvel,2014,155
Harvey,2014,25225
Harwood Heights,2014,8656
Havana,2014,3243
Hawthorn Woods,2014,7727
Hazel Crest,2014,14102
Hebron,2014,1094
Hecker,2014,503
Henderson,2014,228
Hennepin,2014,979
Henning,2014,364
Henry,2014,2367
Heritage Lake,2014,1292
Herrick,2014,446
Herrin,2014,12721
Herscher,2014,1519
Hettick,2014,254
Heyworth,2014,3028
Hickory Hills,2014,14117
Hidalgo,2014,88
Highland,2014,9738
Highland Park,2014,29819
Highwood,2014,5400
Hillcrest,2014,1203
Hillsboro,2014,8371
Hillsdale,2014,507
Hillside,2014,8192
Hillview,2014,152
Hinckley,2014,2052
Hindsboro,2014,341
Hinsdale,2014,16898
Hodgkins,2014,2185
Hoffman,2014,555
Hoffman Estates,2014,52271
Holiday Hills,2014,654
Holiday Shores,2014,2918
Hollowayville,2014,51
Homer,2014,1159
Homer Glen,2014,24322
Hometown,2014,4358
Homewood,2014,19642
Hoopeston,2014,5474
Hooppole,2014,293
Hopedale,2014,1018
Hopewell,2014,421
Hopkins Park,2014,495
Hoyleton,2014,586
Hudson,2014,1918
Huey,2014,209
Hull,2014,450
Humboldt,2014,430
Hume,2014,399
Huntley,2014,25200
Hurst,2014,841
Hutsonville,2014,468
Illiopolis,2014,913
Ina,2014,2301
Indian Creek,2014,591
Indian Head Park,2014,3837
Indianola,2014,381
Industry,2014,432
Ingalls Park,2014,3368
Inverness,2014,7516
Iola,2014,131
Ipava,2014,594
Iroquois,2014,166
Irving,2014,377
Irvington,2014,735
Irwin,2014,107
Island Lake,2014,8033
Itasca,2014,8579
Iuka,2014,480
Ivesdale,2014,288
Jacksonville,2014,19315
Jeffersonville,2014,434
Jeisyville,2014,131
Jerome,2014,1532
Jerseyville,2014,8305
Jewett,2014,310
Johnsburg,2014,6322
Johnsonville,2014,64
Johnston City,2014,3541
Joliet,2014,147786
Jonesboro,2014,2052
Joppa,2014,319
Joy,2014,410
Junction,2014,88
Junction City,2014,506
Justice,2014,13001
Kampsville,2014,387
Kane,2014,338
Kaneville,2014,523
Kangley,2014,348
Kankakee,2014,27145
Kansas,2014,834
Kappa,2014,325
Karnak,2014,611
Kaskaskia,2014,9
Keenes,2014,76
Keensburg,2014,197
Keithsburg,2014,598
Kell,2014,212
Kempton,2014,141
Kenilworth,2014,2648
Kenney,2014,325
Kewanee,2014,12694
Keyesport,2014,489
Kilbourne,2014,278
Kildeer,2014,3917
Kincaid,2014,1666
Kinderhook,2014,284
Kingston,2014,1029
Kingston Mines,2014,253
Kinmundy,2014,1025
Kinsman,2014,124
Kirkland,2014,1791
Kirkwood,2014,782
Knollwood,2014,1519
Knoxville,2014,2954
Lacon,2014,1759
Ladd,2014,1231
La Fayette,2014,266
La Grange,2014,15675
La Grange Park,2014,13624
La Harpe,2014,1387
Lake Barrington,2014,4903
Lake Bluff,2014,5867
Lake Camelot,2014,1910
Lake Catherine,2014,1718
Lake Forest,2014,18914
Lake Holiday,2014,4738
Lake in the Hills,2014,28926
Lake Ka-Ho,2014,232
Lakemoor,2014,6576
Lake of the Woods,2014,2855
Lake Petersburg,2014,667
Lake Summerset,2014,1755
Lake Villa,2014,8860
Lakewood,2014,4411
Lakewood Shores,2014,1250
Lake Zurich,2014,19849
La Moille,2014,825
Lanark,2014,1650
Langleyville,2014,356
Lansing,2014,28486
LaPlace,2014,146
La Prairie,2014,74
La Rose,2014,129
LaSalle,2014,9537
Latham,2014,265
Lawrenceville,2014,4665
Leaf River,2014,586
Lebanon,2014,3998
Lee,2014,335
Leland,2014,888
Leland Grove,2014,1521
Lemont,2014,16376
Lena,2014,2888
Lenzburg,2014,524
Leonore,2014,77
Lerna,2014,315
Le Roy,2014,3565
Lewistown,2014,2433
Lexington,2014,2213
Liberty,2014,466
Libertyville,2014,20398
Lily Lake,2014,1082
Lima,2014,179
Limestone,2014,1452
Lincoln,2014,14382
Lincolnshire,2014,7270
Lincolnwood,2014,12653
Lindenhurst,2014,14412
Lisbon,2014,333
Lisle,2014,22626
Litchfield,2014,6913
Littleton,2014,205
Little York,2014,289
Liverpool,2014,115
Livingston,2014,855
Loami,2014,840
Lockport,2014,25063
Loda,2014,420
Lomax,2014,328
Lombard,2014,43853
London Mills,2014,413
Long Creek,2014,1383
Long Grove,2014,8017
Long Lake,2014,3217
Long Point,2014,203
Longview,2014,172
Loraine,2014,279
Lostant,2014,365
Lost Nation,2014,594
Louisville,2014,1022
Loves Park,2014,24435
Lovington,2014,1030
Ludlow,2014,446
Lyndon,2014,724
Lynnville,2014,68
Lynwood,2014,9260
Lyons,2014,10667
McClure,2014,348
McCook,2014,212
McCullom Lake,2014,1001
Macedonia,2014,52
McHenry,2014,26803
Machesney Park,2014,23180
Mackinaw,2014,2407
McLean,2014,841
McLeansboro,2014,2753
McNabb,2014,376
Macomb,2014,19193
Macon,2014,1168
Madison,2014,4061
Maeystown,2014,160
Magnolia,2014,345
Mahomet,2014,7592
Makanda,2014,530
Malden,2014,427
Malta,2014,1115
Manchester,2014,385
Manhattan,2014,7017
Manito,2014,1752
Manlius,2014,408
Mansfield,2014,941
Manteno,2014,9585
Maple Park,2014,1366
Mapleton,2014,310
Maquon,2014,370
Marengo,2014,7451
Marietta,2014,198
Marine,2014,1199
Marion,2014,17353
Marissa,2014,2253
Mark,2014,615
Markham,2014,12625
Maroa,2014,1853
Marquette Heights,2014,2789
Marseilles,2014,4832
Marshall,2014,3895
Martinsville,2014,1150
Martinton,2014,316
Maryville,2014,7727
Mascoutah,2014,7675
Mason,2014,404
Mason City,2014,2374
Matherville,2014,941
Matteson,2014,19097
Mattoon,2014,17906
Maunie,2014,102
Maywood,2014,24148
Mazon,2014,1093
Mechanicsburg,2014,570
Media,2014,126
Medora,2014,434
Melrose Park,2014,25514
Melvin,2014,478
Mendon,2014,851
Mendota,2014,7161
Menominee,2014,239
Meredosia,2014,1045
Merrionette Park,2014,1748
Metamora,2014,3544
Metcalf,2014,249
Metropolis,2014,6466
Mettawa,2014,455
Middletown,2014,296
Midlothian,2014,14901
Milan,2014,5122
Milford,2014,1281
Millbrook,2014,329
Mill Creek,2014,48
Milledgeville,2014,1034
Millington,2014,665
Mill Shoals,2014,168
Millstadt,2014,3955
Milton,2014,296
Mineral,2014,246
Minier,2014,1206
Minonk,2014,2160
Minooka,2014,11225
Mitchell,2014,1301
Modesto,2014,167
Mokena,2014,18804
Moline,2014,43087
Momence,2014,3155
Monee,2014,5133
Monmouth,2014,9565
Monroe Center,2014,473
Montgomery,2014,18780
Monticello,2014,5400
Montrose,2014,248
Morris,2014,13929
Morrison,2014,4118
Morrisonville,2014,885
Morton,2014,16493
Morton Grove,2014,23424
Mound City,2014,603
Mounds,2014,1225
Mound Station,2014,134
Mount Auburn,2014,535
Mount Carmel,2014,7155
Mount Carroll,2014,1670
Mount Clare,2014,222
Mount Erie,2014,112
Mount Morris,2014,3155
Mount Olive,2014,2085
Mount Prospect,2014,54589
Mount Pulaski,2014,1257
Mount Sterling,2014,2165
Mount Vernon,2014,15069
Mount Zion,2014,5830
Moweaqua,2014,1793
Muddy,2014,37
Mulberry Grove,2014,744
Mulkeytown,2014,130
Muncie,2014,151
Mundelein,2014,31498
Murphysboro,2014,8189
Murrayville,2014,573
Naperville,2014,144108
Naplate,2014,497
Naples,2014,61
Nashville,2014,3352
Nason,2014,218
Nauvoo,2014,1195
Nebo,2014,381
Nelson,2014,219
Neoga,2014,1598
Neponset,2014,523
Newark,2014,1108
New Athens,2014,2108
New Baden,2014,3413
New Bedford,2014,73
New Berlin,2014,1444
New Boston,2014,707
New Burnside,2014,188
New Canton,2014,391
New Douglas,2014,372
New Grand Chain,2014,194
New Haven,2014,406
New Holland,2014,173
