town,Year,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal
Addison ,2012,6,0,5,2,0,2,8,7,0
Algonquin ,2012,2,0,2,2,0,2,4,4,0
Alsip ,2012,2,0,2,4,0,4,6,6,0
Antioch ,2012,2,0,2,2,0,2,4,4,0
Arlington Hts ,2012,18,1,17,9,0,9,27,26,1
Aurora ,2012,46,0,45,52,0,52,98,97,0
Barrington ,2012,2,0,2,2,0,2,4,4,0
Bartlett ,2012,6,0,6,3,1,2,9,8,1
Batavia ,2012,5,0,4,3,0,3,8,7,0
Beach Park ,2012,1,0,1,4,0,4,5,5,0
Bedford Park ,2012,2,0,1,,,,2,1,0
Beecher ,2012,,,,1,0,1,1,1,0
Bellwood ,2012,2,0,2,10,0,10,12,12,0
Bensenville ,2012,5,0,5,5,0,4,10,9,0
Berkeley ,2012,3,0,3,2,0,2,5,5,0
Berwyn ,2012,32,0,31,22,0,20,54,51,0
Bloomingdale ,2012,3,0,3,1,0,1,4,4,0
Blue Island ,2012,2,0,1,12,0,12,14,13,0
Bolingbrook ,2012,16,0,14,10,0,8,26,22,0
Bridgeview ,2012,11,0,11,20,2,17,31,28,2
Broadview ,2012,6,1,5,5,0,5,11,10,1
Brookfield ,2012,4,0,3,7,1,6,11,9,1
Buffalo Grove ,2012,11,0,11,4,0,4,15,15,0
Burbank ,2012,5,0,5,9,0,9,14,14,0
Burnham ,2012,,,,1,0,1,1,1,0
Burr Ridge ,2012,2,0,2,2,0,2,4,4,0
Calumet City ,2012,7,0,7,15,1,14,22,21,1
Calumet Park ,2012,2,0,2,6,0,6,8,8,0
Carol Stream ,2012,5,0,4,8,0,7,13,11,0
Carpentersville ,2012,3,0,3,7,0,7,10,10,0
Cary ,2012,1,0,0,4,0,4,5,4,0
Channahon ,2012,,,,2,0,2,2,2,0
Chicago ,2012,1597,8,1495,2867,46,2750,4464,4245,54
Chicago Hts ,2012,11,0,11,16,1,15,27,26,1
Chicago Ridge ,2012,1,0,1,4,0,3,5,4,0
Cicero ,2012,22,1,19,52,2,48,74,67,3
Clarendon Hills ,2012,1,0,1,2,0,2,3,3,0
Country Club Hills ,2012,1,0,1,3,0,3,4,4,0
Countryside ,2012,3,0,3,1,0,1,4,4,0
Crest Hill ,2012,3,0,3,,,,3,3,0
Crestwood ,2012,1,0,1,5,0,4,6,5,0
Crete ,2012,,,,2,1,1,2,1,1
Crystal Lake ,2012,14,1,12,8,0,7,22,19,1
Darien ,2012,4,0,4,2,1,1,6,5,1
Deerfield ,2012,6,0,6,4,0,4,10,10,0
Des Plaines ,2012,20,0,20,27,2,24,47,44,2
Dixmoor ,2012,1,0,1,,,,1,1,0
Dolton ,2012,3,0,3,13,0,13,16,16,0
Downers Grove ,2012,11,0,11,9,0,9,20,20,0
East Dundee ,2012,3,0,3,,,,3,3,0
Elburn ,2012,,,,1,0,1,1,1,0
Elgin ,2012,28,0,28,29,2,26,57,54,2
Elk Grove ,2012,10,0,9,4,2,2,14,11,2
Elmhurst ,2012,13,0,13,6,0,6,19,19,0
Elmwood Park ,2012,9,0,9,6,1,5,15,14,1
Evanston ,2012,53,0,49,59,1,57,112,106,1
Evergreen Park ,2012,8,0,8,10,0,10,18,18,0
Flossmoor ,2012,1,0,1,,,,1,1,0
Ford Heights ,2012,,,,3,0,3,3,3,0
Forest Park ,2012,9,0,9,14,1,13,23,22,1
Fox Lake ,2012,,,,4,0,3,4,3,0
Fox River Grove ,2012,2,0,2,,,,2,2,0
Frankfort ,2012,1,0,1,1,0,1,2,2,0
Franklin Park ,2012,5,0,5,10,1,9,15,14,1
Geneva ,2012,9,0,6,2,0,2,11,8,0
Glen Ellyn ,2012,9,0,9,4,0,3,13,12,0
Glencoe ,2012,1,0,0,1,0,1,2,1,0
Glendale Hts ,2012,14,0,14,6,0,6,20,20,0
Glenview ,2012,16,0,15,3,0,3,19,18,0
Glenwood ,2012,1,0,1,2,0,2,3,3,0
Godley ,2012,,,,1,0,1,1,1,0
Grayslake ,2012,4,0,3,4,0,4,8,7,0
Green Oaks ,2012,2,0,2,,,,2,2,0
Gurnee ,2012,6,0,6,4,0,4,10,10,0
Hainesville ,2012,1,0,1,2,0,2,3,3,0
Hanover Park ,2012,8,0,7,3,0,3,11,10,0
Harvard ,2012,2,0,2,2,0,2,4,4,0
Harvey ,2012,12,1,11,24,1,22,36,33,2
Harwood Hts ,2012,2,0,2,1,0,1,3,3,0
Hawthorn Woods ,2012,1,0,1,,,,1,1,0
Hazelcrest ,2012,3,0,3,8,0,8,11,11,0
Hickory Hills ,2012,2,0,2,4,0,4,6,6,0
Highland Park ,2012,10,0,10,8,1,7,18,17,1
Highwood ,2012,3,0,3,1,0,1,4,4,0
Hillside ,2012,3,0,3,3,0,3,6,6,0
Hinsdale ,2012,2,0,2,4,0,4,6,6,0
Hoffman Estates ,2012,10,0,10,1,0,1,11,11,0
Homer Glen ,2012,1,0,1,1,0,1,2,2,0
Hometown ,2012,,,,1,0,1,1,1,0
