town,year,total2013
Abingdon,2013,2930
Adair,2013,208
Addieville,2013,246
Addison,2013,37126
Adeline,2013,75
Albany,2013,908
Albers,2013,1159
Albion,2013,2185
Aledo,2013,3786
Alexis,2013,858
Algonquin,2013,30078
Alhambra,2013,654
Allendale,2013,541
Allenville,2013,134
Allerton,2013,177
Alma,2013,321
Alorton,2013,1724
Alpha,2013,557
Alsey,2013,294
Alsip,2013,19331
Altamont,2013,2316
Alton,2013,27635
Altona,2013,401
Alto Pass,2013,501
Alvan,2013,261
Amboy,2013,2367
Anchor,2013,111
Andalusia,2013,1413
Andover,2013,556
Anna,2013,4418
Annapolis,2013,50
Annawan,2013,969
Antioch,2013,14354
Apple Canyon Lake,2013,421
Apple River,2013,428
Arcola,2013,2910
Arenzville,2013,374
Argenta,2013,1002
Arlington,2013,187
Arlington Heights,2013,75492
Armington,2013,327
Aroma Park,2013,589
Arrowsmith,2013,377
Arthur,2013,2346
Ashkum,2013,707
Ashland,2013,1406
Ashley,2013,560
Ashmore,2013,852
Ashton,2013,954
Assumption,2013,1306
Astoria,2013,1293
Athens,2013,2013
Atkinson,2013,1076
Atlanta,2013,1225
Atwood,2013,1142
Auburn,2013,4954
Augusta,2013,707
Aurora,2013,198726
Ava,2013,701
Aviston,2013,1953
Avon,2013,677
Baldwin,2013,414
Banner,2013,192
Bannockburn,2013,1376
Bardolph,2013,234
Barrington,2013,10662
Barrington Hills,2013,3653
Barry,2013,1361
Bartelso,2013,666
Bartlett,2013,41297
Bartonville,2013,6471
Basco,2013,97
Batavia,2013,25943
Batchtown,2013,202
Bath,2013,323
Baylis,2013,170
Bay View Gardens,2013,361
Beach Park,2013,13716
Beardstown,2013,6271
Beason,2013,146
Beaverville,2013,340
Beckemeyer,2013,994
Bedford Park,2013,612
Beecher,2013,4680
Beecher City,2013,364
Belgium,2013,453
Belknap,2013,87
Belle Prairie City,2013,87
Belle Rive,2013,394
Belleville,2013,43655
Bellevue,2013,1927
Bellflower,2013,295
Bellmont,2013,208
Bellwood,2013,19110
Belvidere,2013,25890
Bement,2013,1800
Benld,2013,1756
Bensenville,2013,18453
Benson,2013,436
Bentley,2013,34
Benton,2013,7089
Berkeley,2013,5218
Berlin,2013,142
Berwyn,2013,56626
Bethalto,2013,9476
Bethany,2013,1378
Biggsville,2013,308
Big Rock,2013,1120
Bingham,2013,85
Bishop Hill,2013,127
Bismarck,2013,562
Blandinsville,2013,707
Bloomingdale,2013,22168
Bloomington,2013,77293
Blue Island,2013,23621
Blue Mound,2013,1275
Bluffs,2013,766
Bluford,2013,651
Bolingbrook,2013,73799
Bondville,2013,577
Bone Gap,2013,196
Bonfield,2013,282
Bonnie,2013,430
Boody,2013,330
Boulder Hill,2013,8077
Bourbonnais,2013,18650
Bowen,2013,543
Braceville,2013,808
Bradford,2013,840
Bradley,2013,15855
Braidwood,2013,6033
Breese,2013,4813
Bridgeport,2013,1190
Bridgeview,2013,16457
Brighton,2013,2049
Brimfield,2013,1002
Broadlands,2013,315
Broadview,2013,7940
Broadwell,2013,84
Brocton,2013,402
Brookfield,2013,18968
Brooklyn,2013,777
Brookport,2013,898
Broughton,2013,225
Browning,2013,131
Browns,2013,120
Brownstown,2013,660
Brussels,2013,126
Bryant,2013,172
Buckingham,2013,338
Buckley,2013,557
Buckner,2013,440
Buda,2013,662
Buffalo,2013,413
Buffalo Grove,2013,41663
Bull Valley,2013,1075
Bulpitt,2013,315
Buncombe,2013,223
Bunker Hill,2013,1774
Burbank,2013,28993
Bureau Junction,2013,301
Burlington,2013,603
Burnham,2013,4209
Burnt Prairie,2013,59
Burr Ridge,2013,10615
Bush,2013,276
Bushnell,2013,3108
Butler,2013,139
Byron,2013,3705
Cabery,2013,373
Cahokia,2013,15055
Cairo,2013,2740
Caledonia,2013,191
Calhoun,2013,165
Calumet City,2013,37130
Calumet Park,2013,7973
Camargo,2013,545
Cambria,2013,1294
Cambridge,2013,2057
Camden,2013,139
Campbell Hill,2013,238
